p,rh,t,ts
101.612,80.71,21.033,1550940552.64492
101.61,80.79,21.038,1550940555.11218
101.614,80.89,21.034,1550940557.57866
101.613,80.97,21.034,1550940560.03870
101.608,81.01,21.035,1550940562.50815
101.609,81.06,21.036,1550940564.97892
101.609,81.11,21.033,1550940567.43803
101.611,81.17,21.029,1550940569.90609
101.608,81.23,21.032,1550940572.37361
101.609,81.28,21.045,1550940574.84129
101.609,81.31,21.052,1550940577.30886
101.612,81.31,21.069,1550940579.77628
101.612,81.32,21.08,1550940582.24470
101.609,81.32,21.093,1550940584.71257
101.611,81.33,21.103,1550940587.17458
101.61,81.34,21.121,1550940589.63811
101.612,81.35,21.14,1550940592.10035
101.611,81.36,21.159,1550940594.56803
101.612,81.32,21.173,1550940597.03824
101.61,81.23,21.187,1550940599.50714
101.611,81.12,21.196,1550940601.96779
101.611,80.97,21.197,1550940604.42793
101.61,80.92,21.218,1550940606.89515
101.61,80.9,21.23,1550940609.36223
101.611,80.88,21.233,1550940611.82936
101.608,80.86,21.237,1550940614.29644
101.612,80.86,21.246,1550940616.75785
101.61,80.87,21.251,1550940619.22491
101.611,80.9,21.257,1550940621.69225
101.612,80.91,21.271,1550940624.15964
101.611,80.94,21.284,1550940626.62656
101.612,80.96,21.297,1550940629.09564
101.611,80.99,21.303,1550940631.56628
101.609,80.98,21.311,1550940634.02820
101.611,80.97,21.318,1550940636.49847
101.611,80.93,21.324,1550940638.96566
101.61,80.85,21.323,1550940641.43339
101.612,80.76,21.335,1550940643.89327
101.61,80.66,21.327,1550940646.35881
101.612,80.63,21.34,1550940648.82886
101.611,80.63,21.341,1550940651.29614
101.61,80.64,21.347,1550940653.76333
101.614,80.65,21.356,1550940656.23018
101.612,80.66,21.365,1550940658.69745
101.611,80.67,21.38,1550940661.16464
101.612,80.6,21.387,1550940663.63161
101.608,80.49,21.391,1550940666.09864
101.609,80.41,21.4,1550940668.56561
101.61,80.38,21.41,1550940671.03277
101.609,80.31,21.423,1550940673.50247
101.607,80.23,21.43,1550940675.97189
101.609,80.23,21.444,1550940678.43907
101.606,80.24,21.455,1550940680.90542
101.606,80.25,21.471,1550940683.36852
101.606,80.23,21.488,1550940685.83687
101.61,80.24,21.505,1550940688.30536
101.606,80.22,21.524,1550940690.77284
101.609,80.17,21.537,1550940693.24021
101.608,80.13,21.556,1550940695.69810
101.607,80.06,21.549,1550940698.16580
101.611,80.05,21.591,1550940700.63312
101.605,80.07,21.601,1550940703.10042
101.606,80.09,21.617,1550940705.56976
101.605,80.09,21.629,1550940708.03744
101.605,80.03,21.635,1550940710.50473
101.604,80,21.639,1550940712.97186
101.608,79.99,21.649,1550940715.43925
101.61,79.98,21.653,1550940717.89792
101.61,79.99,21.666,1550940720.36526
101.613,79.96,21.682,1550940722.83249
101.606,79.93,21.692,1550940725.30011
101.606,79.91,21.703,1550940727.75791
101.609,79.89,21.721,1550940730.22824
101.607,79.88,21.735,1550940732.69524
101.61,79.87,21.752,1550940735.15715
101.609,79.84,21.775,1550940737.62429
101.609,79.81,21.788,1550940740.09141
101.607,79.77,21.803,1550940742.55901
101.608,79.73,21.819,1550940745.02621
101.61,79.65,21.836,1550940747.49011
101.609,79.48,21.835,1550940749.95773
101.612,79.3,21.843,1550940752.42488
101.611,79.26,21.843,1550940754.88725
