file,current,scan_rate
NF04_O2_100_2500mvs_3,104.436,2500
NF04_O2_000_0500mvs_1,25.913,500
NF04_O2_000_0500mvs_2,27.221,500
NF04_O2_000_0500mvs_3,28.53,500
NF04_O2_000_1500mvs_1,34.027,1500
NF04_O2_000_1500mvs_2,35.859,1500
NF04_O2_000_1500mvs_3,37.953,1500
NF04_O2_000_2500mvs_1,35.859,2500
NF04_O2_000_2500mvs_2,40.047,2500
NF04_O2_000_2500mvs_3,41.094,2500
NF06_Fe_025_0500mvs_1,1.465,500
NF06_Fe_025_0500mvs_2,1.321,500
NF06_Fe_025_0500mvs_3,1.286,500
NF06_Fe_025_1500mvs_1,2.908,1500
NF06_Fe_025_1500mvs_2,2.794,1500
NF06_Fe_025_1500mvs_3,2.906,1500
NF06_Fe_025_2500mvs_1,5.403,2500
NF06_Fe_025_2500mvs_2,4.581,2500
NF06_Fe_025_2500mvs_3,4.831,2500
NF06_Fe_050_0500mvs_1,2.368,500
NF06_Fe_050_0500mvs_2,2.295,500
NF06_Fe_050_0500mvs_3,2.369,500
NF06_Fe_050_1500mvs_1,2.674,1500
NF06_Fe_050_1500mvs_2,2.547,1500
NF06_Fe_050_1500mvs_3,2.553,1500
NF06_Fe_050_2500mvs_1,6.713,2500
NF06_Fe_050_2500mvs_2,6.197,2500
NF06_Fe_050_2500mvs_3,6.53,2500
NF06_Fe_100_0500mvs_1,5.597,500
NF06_Fe_100_0500mvs_2,4.931,500
NF06_Fe_100_0500mvs_3,5.109,500
NF06_Fe_100_1500mvs_1,10.75,1500
NF06_Fe_100_1500mvs_2,10.661,1500
NF06_Fe_100_1500mvs_3,8.351,1500
NF06_Fe_100_2500mvs_1,15.732,2500
NF06_Fe_100_2500mvs_2,14.99,2500
NF06_Fe_100_2500mvs_3,14.544,2500
NF06_Fe_200_0500mvs_1,18.601,500
NF06_Fe_200_0500mvs_2,13.555,500
NF06_Fe_200_0500mvs_3,16.226,500
NF06_Fe_200_1500mvs_1,21.173,1500
NF06_Fe_200_1500mvs_2,22.315,1500
NF06_Fe_200_1500mvs_3,24.689,1500
NF06_Fe_200_2500mvs_1,27.274,2500
NF06_Fe_200_2500mvs_2,26.628,2500
NF06_Fe_200_2500mvs_3,28.172,2500
NF06_Fe_300_0500mvs_1,39.139,500
NF06_Fe_300_0500mvs_2,32.657,500
NF06_Fe_300_0500mvs_3,36.082,500
NF06_Fe_300_1500mvs_1,39.873,1500
NF06_Fe_300_1500mvs_2,40.729,1500
NF06_Fe_300_1500mvs_3,37.549,1500
NF06_Fe_300_2500mvs_1,48.51,2500
NF06_Fe_300_2500mvs_2,55.44,2500
NF06_Fe_300_2500mvs_3,40.381,2500
NF06_HS_010_0500mvs_1,26.778,500
NF06_HS_010_0500mvs_2,22.931,500
NF06_HS_010_0500mvs_3,23.459,500
NF06_HS_010_1500mvs_1,54.21,1500
NF06_HS_010_1500mvs_2,49.648,1500
NF06_HS_010_1500mvs_3,42.129,1500
NF06_HS_010_2500mvs_1,72.607,2500
NF06_HS_010_2500mvs_2,67.434,2500
NF06_HS_010_2500mvs_3,59.347,2500
NF06_HS_025_0500mvs_1,52.495,500
NF06_HS_025_0500mvs_2,56.472,500
NF06_HS_025_0500mvs_3,55.975,500
NF06_HS_025_1500mvs_1,108.451,1500
NF06_HS_025_1500mvs_2,111.175,1500
NF06_HS_025_1500mvs_3,117.311,1500
NF06_HS_025_2500mvs_1,163.455,2500
NF06_HS_025_2500mvs_2,158.278,2500
NF06_HS_025_2500mvs_3,146.238,2500
NF06_HS_050_0500mvs_1,212.863,500
NF06_HS_050_0500mvs_2,155.452,500
NF06_HS_050_0500mvs_3,122.21,500
NF06_HS_050_1500mvs_1,431.097,1500
NF06_HS_050_1500mvs_2,373.904,1500
NF06_HS_050_1500mvs_3,304.27,1500
NF06_HS_050_2500mvs_1,520.567,2500
NF06_HS_050_2500mvs_2,505.457,2500
NF06_HS_050_2500mvs_3,379.549,2500
NF06_HS_100_0500mvs_1,234.864,500
NF06_HS_100_0500mvs_2,250.588,500
NF06_HS_100_0500mvs_3,238.575,500
NF06_HS_100_1500mvs_1,505.679,1500
NF06_HS_100_1500mvs_2,511.496,1500
NF06_HS_100_1500mvs_3,530.091,1500
NF06_HS_100_2500mvs_1,717.417,2500
NF06_HS_100_2500mvs_2,711.721,2500
NF06_HS_100_2500mvs_3,745.729,2500
NF06_Mn_025_0500mvs_1,6.648,500
NF06_Mn_025_0500mvs_2,6.997,500
NF06_Mn_025_0500mvs_3,7.011,500
NF06_Mn_025_1500mvs_1,7.306,1500
NF06_Mn_025_1500mvs_2,7.042,1500
NF06_Mn_025_1500mvs_3,6.816,1500
NF06_Mn_025_2500mvs_1,7.284,2500
NF06_Mn_025_2500mvs_2,7.635,2500
NF06_Mn_025_2500mvs_3,7.297,2500
NF06_Mn_050_0500mvs_1,8.861,500
NF06_Mn_050_0500mvs_2,9.209,500
NF06_Mn_050_0500mvs_3,8.803,500
NF06_Mn_050_1500mvs_1,11.757,1500
NF06_Mn_050_1500mvs_2,12.684,1500
NF06_Mn_050_1500mvs_3,12.568,1500
NF06_Mn_050_2500mvs_1,14.349,2500
NF06_Mn_050_2500mvs_2,14.09,2500
NF06_Mn_050_2500mvs_3,13.573,2500
NF06_Mn_100_0500mvs_1,14.284,500
NF06_Mn_100_0500mvs_2,15.125,500
NF06_Mn_100_0500mvs_3,15.448,500
NF06_Mn_100_1500mvs_1,21.911,1500
NF06_Mn_100_1500mvs_2,22.105,1500
NF06_Mn_100_1500mvs_3,22.234,1500
NF06_Mn_100_2500mvs_1,26.63,2500
NF06_Mn_100_2500mvs_2,26.565,2500
NF06_Mn_100_2500mvs_3,26.953,2500
NF06_Mn_200_0500mvs_1,28.116,500
NF06_Mn_200_0500mvs_2,26.953,500
NF06_Mn_200_0500mvs_3,28.052,500
NF06_Mn_200_1500mvs_1,42.693,1500
NF06_Mn_200_1500mvs_2,42.151,1500
NF06_Mn_200_1500mvs_3,40.874,1500
NF06_Mn_200_2500mvs_1,54.767,2500
NF06_Mn_200_2500mvs_2,54.203,2500
NF06_Mn_200_2500mvs_3,54.002,2500
NF06_O2_100_0500mvs_1,53.945,500
NF06_O2_100_0500mvs_2,52.345,500
NF06_O2_100_0500mvs_3,50.288,500
NF06_O2_100_1500mvs_1,70.631,1500
NF06_O2_100_1500mvs_2,68.345,1500
NF06_O2_100_1500mvs_3,66.745,1500
NF06_O2_100_2500mvs_1,80.689,2500
NF06_O2_100_2500mvs_2,79.317,2500
NF06_O2_100_2500mvs_3,78.632,2500
NF06_O2_000_0500mvs_1,19.886,500
NF06_O2_000_0500mvs_2,18.744,500
NF06_O2_000_0500mvs_3,18.058,500
NF06_O2_000_1500mvs_1,25.372,1500
NF06_O2_000_1500mvs_2,24.229,1500
NF06_O2_000_1500mvs_3,25.144,1500
NF06_O2_000_2500mvs_1,27.658,2500
NF06_O2_000_2500mvs_2,28.344,2500
NF06_O2_000_2500mvs_3,31.087,2500
NF07_Fe_025_0500mvs_1,14.076,500
NF07_Fe_025_0500mvs_2,10.589,500
NF07_Fe_025_0500mvs_3,8.581,500
NF07_Fe_025_1500mvs_1,22.776,1500
NF07_Fe_025_1500mvs_2,20.336,1500
NF07_Fe_025_1500mvs_3,18.871,1500
NF07_Fe_025_2500mvs_1,34.141,2500
NF07_Fe_025_2500mvs_2,31.016,2500
NF07_Fe_025_2500mvs_3,30.322,2500
NF07_Fe_050_0500mvs_1,10.006,500
NF07_Fe_050_0500mvs_2,9.703,500
NF07_Fe_050_0500mvs_3,9.795,500
NF07_Fe_050_1500mvs_3,20.21,1500
NF07_Fe_050_2500mvs_1,33.04,2500
NF07_Fe_050_2500mvs_2,32.065,2500
NF07_Fe_100_0500mvs_1,20.131,500
NF07_Fe_100_0500mvs_2,19.234,500
NF07_Fe_100_0500mvs_3,18.745,500
NF07_Fe_100_1500mvs_1,42.511,1500
NF07_Fe_100_1500mvs_2,42.745,1500
NF07_Fe_100_1500mvs_3,41.823,1500
NF07_Fe_100_2500mvs_1,57.891,2500
NF07_Fe_100_2500mvs_2,58.881,2500
NF07_Fe_100_2500mvs_3,57.364,2500
NF07_Fe_100_2500mvs_3,57.364,2500
NF07_Fe_200_0500mvs_1,32.852,500
NF07_Fe_200_0500mvs_2,33.484,500
NF07_Fe_200_0500mvs_3,32.473,500
NF07_Fe_200_1500mvs_1,66.335,1500
NF07_Fe_200_1500mvs_2,65.956,1500
NF07_Fe_200_1500mvs_3,66.462,1500
NF07_Fe_200_2500mvs_1,87.303,2500
NF07_Fe_200_2500mvs_2,88.714,2500
NF07_Fe_200_2500mvs_3,88.461,2500
NF07_Fe_300_0500mvs_1,51.66,500
NF07_Fe_300_0500mvs_2,48.011,500
NF07_Fe_300_0500mvs_3,47.089,500
NF07_Fe_300_1500mvs_1,87.608,1500
NF07_Fe_300_1500mvs_2,87.54,1500
NF07_Fe_300_1500mvs_3,86.143,1500
NF07_Fe_300_2500mvs_1,111.98,2500
NF07_Fe_300_2500mvs_2,113.871,2500
NF07_Fe_300_2500mvs_3,113.049,2500
NF07_HS_010_0500mvs_1,35.023,500
NF07_HS_010_0500mvs_2,32.942,500
NF07_HS_010_0500mvs_3,29.311,500
NF07_HS_010_1500mvs_1,65.603,1500
NF07_HS_010_1500mvs_2,61.423,1500
NF07_HS_010_1500mvs_3,56.138,1500
NF07_HS_010_2500mvs_1,90.145,2500
NF07_HS_010_2500mvs_2,84.852,2500
NF07_HS_010_2500mvs_3,77.7,2500
NF07_HS_025_0500mvs_1,59.426,500
NF07_HS_025_0500mvs_2,58.394,500
NF07_HS_025_0500mvs_3,54.946,500
NF07_HS_025_1500mvs_1,124.989,1500
NF07_HS_025_1500mvs_2,120.439,1500
NF07_HS_025_1500mvs_3,116.232,1500
NF07_HS_025_2500mvs_1,165.117,2500
NF07_HS_025_2500mvs_2,168.61,2500
NF07_HS_025_2500mvs_3,163.65,2500
NF07_HS_050_0500mvs_1,110.7,500
NF07_HS_050_0500mvs_2,114.611,500
NF07_HS_050_0500mvs_3,99.57,500
NF07_HS_050_1500mvs_1,225.248,1500
NF07_HS_050_1500mvs_2,233.717,1500
NF07_HS_050_1500mvs_3,205.32,1500
NF07_HS_050_2500mvs_1,348.676,2500
NF07_HS_050_2500mvs_2,306.247,2500
NF07_HS_050_2500mvs_3,305.01,2500
NF07_HS_100_0500mvs_1,226.44,500
NF07_HS_100_0500mvs_2,193.016,500
NF07_HS_100_0500mvs_3,220.995,500
NF07_HS_100_1500mvs_1,440.376,1500
NF07_HS_100_1500mvs_2,413.662,1500
NF07_HS_100_1500mvs_3,425.26,1500
NF07_HS_100_2500mvs_1,535.787,2500
NF07_HS_100_2500mvs_2,629.208,2500
NF07_HS_100_2500mvs_3,605.458,2500
NF07_Mn_025_0500mvs_1,11.202,500
NF07_Mn_025_0500mvs_2,10.728,500
NF07_Mn_025_0500mvs_3,9.289,500
NF07_Mn_025_1500mvs_1,17.969,1500
NF07_Mn_025_1500mvs_2,16.202,1500
NF07_Mn_025_1500mvs_3,15.605,1500
NF07_Mn_025_2500mvs_1,26.04,2500
NF07_Mn_025_2500mvs_2,23.733,2500
NF07_Mn_025_2500mvs_3,21.645,2500
NF07_Mn_050_0500mvs_1,13.117,500
NF07_Mn_050_0500mvs_2,11.98,500
NF07_Mn_050_0500mvs_3,11.29,500
NF07_Mn_050_1500mvs_1,23.19,1500
NF07_Mn_050_1500mvs_2,21.332,1500
NF07_Mn_050_1500mvs_3,19.337,1500
NF07_Mn_050_2500mvs_1,30.246,2500
NF07_Mn_050_2500mvs_2,27.413,2500
NF07_Mn_050_2500mvs_3,27.138,2500
NF07_Mn_100_0500mvs_1,17.7,500
NF07_Mn_100_0500mvs_2,17.843,500
NF07_Mn_100_0500mvs_3,17.679,500
NF07_Mn_100_1500mvs_1,30.355,1500
NF07_Mn_100_1500mvs_2,31.293,1500
