Chlorophyll,date,Thermistor,time,ts,Turbidity
278,02/23/19,525,16:49:51,1550976603.65962,361
283,02/23/19,525,16:49:53,1550976605.79383,363
284,02/23/19,525,16:49:54,1550976606.85956,367
286,02/23/19,525,16:49:55,1550976607.92462,360
284,02/23/19,525,16:49:56,1550976609.01434,364
283,02/23/19,525,16:49:58,1550976611.14977,359
287,02/23/19,525,16:50:01,1550976613.28255,352
286,02/23/19,525,16:50:02,1550976614.35441,352
286,02/23/19,525,16:50:03,1550976615.43622,356
285,02/23/19,525,16:50:05,1550976617.58501,354
283,02/23/19,525,16:50:07,1550976619.71998,353
284,02/23/19,525,16:50:08,1550976620.78989,356
284,02/23/19,525,16:50:09,1550976621.86797,353
290,02/23/19,525,16:50:11,1550976624.00958,349
287,02/23/19,525,16:50:12,1550976625.07803,354
286,02/23/19,525,16:50:13,1550976626.14989,348
285,02/23/19,525,16:50:15,1550976627.22211,360
287,02/23/19,525,16:50:16,1550976628.29761,360
289,02/23/19,525,16:50:17,1550976629.36579,352
290,02/23/19,525,16:50:18,1550976630.43797,355
289,02/23/19,525,16:50:19,1550976631.51013,352
288,02/23/19,525,16:50:20,1550976632.58503,356
291,02/23/19,525,16:50:21,1550976633.65425,361
295,02/23/19,525,16:50:22,1550976634.72666,360
295,02/23/19,525,16:50:23,1550976635.79839,351
287,02/23/19,525,16:50:24,1550976636.87050,352
286,02/23/19,525,16:50:25,1550976637.94255,356
285,02/23/19,525,16:50:26,1550976639.01577,356
287,02/23/19,525,16:50:27,1550976640.08671,358
287,02/23/19,526,16:50:29,1550976641.16513,360
289,02/23/19,525,16:50:30,1550976642.23788,356
289,02/23/19,525,16:50:31,1550976643.30946,352
285,02/23/19,526,16:50:32,1550976644.38162,355
284,02/23/19,526,16:50:33,1550976645.45372,360
283,02/23/19,526,16:50:34,1550976646.52556,357
283,02/23/19,526,16:50:35,1550976647.60446,358
284,02/23/19,525,16:50:36,1550976648.67516,356
285,02/23/19,526,16:50:37,1550976649.74176,347
286,02/23/19,526,16:50:38,1550976650.81405,364
285,02/23/19,526,16:50:39,1550976651.88588,356
288,02/23/19,525,16:50:40,1550976652.95858,348
289,02/23/19,525,16:50:41,1550976654.03008,352
287,02/23/19,526,16:50:42,1550976655.10219,354
289,02/23/19,526,16:50:44,1550976656.17429,353
284,02/23/19,525,16:50:45,1550976657.24637,356
284,02/23/19,526,16:50:46,1550976658.31843,358
283,02/23/19,526,16:50:47,1550976659.41385,353
284,02/23/19,526,16:50:49,1550976661.60579,354
290,02/23/19,526,16:50:51,1550976663.68616,354
286,02/23/19,526,16:50:52,1550976664.77077,355
282,02/23/19,526,16:50:54,1550976666.89884,358
285,02/23/19,526,16:50:55,1550976667.97921,355
286,02/23/19,526,16:50:56,1550976669.04285,350
286,02/23/19,526,16:50:57,1550976670.11462,356
284,02/23/19,526,16:50:59,1550976671.20985,354
286,02/23/19,526,16:51:01,1550976673.33768,359
286,02/23/19,526,16:51:03,1550976675.47281,353
285,02/23/19,526,16:51:04,1550976676.54488,355
282,02/23/19,526,16:51:05,1550976677.62790,351
282,02/23/19,526,16:51:06,1550976678.68787,361
282,02/23/19,526,16:51:07,1550976679.76186,359
284,02/23/19,526,16:51:08,1550976680.83102,360
284,02/23/19,526,16:51:09,1550976681.90276,362
287,02/23/19,526,16:51:10,1550976682.98027,354
292,02/23/19,526,16:51:12,1550976685.11872,354
293,02/23/19,526,16:51:14,1550976686.19950,354
297,02/23/19,526,16:51:15,1550976687.26269,358
304,02/23/19,526,16:51:16,1550976688.34648,358
298,02/23/19,526,16:51:17,1550976689.41680,351
288,02/23/19,526,16:51:18,1550976690.48550,353
286,02/23/19,526,16:51:19,1550976691.55759,358
285,02/23/19,526,16:51:20,1550976692.62962,355
286,02/23/19,526,16:51:21,1550976693.70164,361
284,02/23/19,526,16:51:22,1550976694.77571,360
286,02/23/19,526,16:51:23,1550976695.85556,358
283,02/23/19,526,16:51:24,1550976696.91827,358
282,02/23/19,526,16:51:25,1550976697.99507,362
283,02/23/19,526,16:51:27,1550976700.13340,361
283,02/23/19,526,16:51:29,1550976701.20550,358
283,02/23/19,526,16:51:30,1550976702.27750,354
283,02/23/19,526,16:51:31,1550976703.34956,354
284,02/23/19,526,16:51:32,1550976704.42159,358
283,02/23/19,526,16:51:33,1550976705.49359,359
285,02/23/19,526,16:51:34,1550976706.56556,358
288,02/23/19,526,16:51:35,1550976707.63771,357
292,02/23/19,526,16:51:36,1550976708.72403,361
287,02/23/19,526,16:51:38,1550976710.85373,353
286,02/23/19,526,16:51:39,1550976711.93223,397
286,02/23/19,526,16:51:40,1550976713.00449,390
284,02/23/19,526,16:51:41,1550976714.07637,368
283,02/23/19,526,16:51:42,1550976715.14847,366
281,02/23/19,526,16:51:44,1550976716.22060,357
281,02/23/19,526,16:51:45,1550976717.29264,353
280,02/23/19,526,16:51:46,1550976718.36817,360
279,02/23/19,526,16:51:47,1550976719.43779,356
280,02/23/19,526,16:51:48,1550976720.50885,358
278,02/23/19,526,16:51:49,1550976721.66326,355
280,02/23/19,526,16:51:51,1550976723.73739,355
282,02/23/19,526,16:51:53,1550976725.87791,351
285,02/23/19,526,16:51:55,1550976728.01107,344
284,02/23/19,526,16:51:56,1550976729.08312,344
283,02/23/19,526,16:51:57,1550976730.15521,347
282,02/23/19,526,16:51:59,1550976731.23668,349
281,02/23/19,526,16:52:00,1550976732.30342,349
283,02/23/19,526,16:52:01,1550976733.37055,351
280,02/23/19,526,16:52:02,1550976734.44357,355
278,02/23/19,526,16:52:03,1550976735.52215,357
278,02/23/19,526,16:52:04,1550976736.59197,356
278,02/23/19,526,16:52:05,1550976737.66856,358
279,02/23/19,526,16:52:07,1550976739.80809,349
278,02/23/19,526,16:52:08,1550976740.87858,346
278,02/23/19,526,16:52:09,1550976741.95038,348
281,02/23/19,526,16:52:10,1550976743.02253,352
282,02/23/19,526,16:52:11,1550976744.09465,349
282,02/23/19,526,16:52:13,1550976745.16677,351
280,02/23/19,526,16:52:14,1550976746.23872,346
277,02/23/19,527,16:52:15,1550976747.31078,350
278,02/23/19,526,16:52:16,1550976748.38290,347
279,02/23/19,526,16:52:17,1550976749.46015,352
279,02/23/19,526,16:52:18,1550976750.52699,352
278,02/23/19,526,16:52:19,1550976751.59895,351
279,02/23/19,526,16:52:20,1550976752.67153,354
284,02/23/19,526,16:52:21,1550976753.74349,356
285,02/23/19,526,16:52:22,1550976754.81627,351
284,02/23/19,526,16:52:23,1550976755.88723,354
278,02/23/19,527,16:52:24,1550976756.95928,354
275,02/23/19,526,16:52:25,1550976758.03135,352
274,02/23/19,526,16:52:26,1550976759.10973,354
276,02/23/19,526,16:52:28,1550976760.18197,351
277,02/23/19,527,16:52:29,1550976761.25391,353
277,02/23/19,527,16:52:30,1550976762.32596,355
278,02/23/19,527,16:52:31,1550976763.39811,357
279,02/23/19,527,16:52:32,1550976764.47755,355
279,02/23/19,527,16:52:33,1550976765.54214,352
281,02/23/19,526,16:52:34,1550976766.61474,348
281,02/23/19,526,16:52:35,1550976767.68691,362
280,02/23/19,527,16:52:36,1550976768.76100,355
280,02/23/19,527,16:52:37,1550976769.83761,356
279,02/23/19,527,16:52:38,1550976770.91523,357
280,02/23/19,527,16:52:40,1550976773.06580,362
276,02/23/19,526,16:52:43,1550976775.19331,370
283,02/23/19,527,16:52:44,1550976776.26156,389
266,02/23/19,527,16:52:45,1550976777.33361,380
256,02/23/19,527,16:52:46,1550976778.40560,391
260,02/23/19,527,16:52:47,1550976779.47760,373
260,02/23/19,527,16:52:48,1550976780.54955,364
261,02/23/19,527,16:52:49,1550976781.66219,376
258,02/23/19,527,16:52:51,1550976783.77905,375
255,02/23/19,527,16:52:53,1550976785.92304,376
257,02/23/19,527,16:52:55,1550976788.06304,379
264,02/23/19,527,16:52:56,1550976789.12885,368
265,02/23/19,527,16:52:58,1550976790.20090,374
268,02/23/19,527,16:52:59,1550976791.27294,374
266,02/23/19,527,16:53:00,1550976792.34457,379
263,02/23/19,527,16:53:01,1550976793.43763,377
261,02/23/19,527,16:53:03,1550976795.55978,373
256,02/23/19,527,16:53:04,1550976796.63220,391
256,02/23/19,527,16:53:05,1550976797.70403,378
255,02/23/19,527,16:53:06,1550976798.77561,395
252,02/23/19,527,16:53:07,1550976799.85424,394
255,02/23/19,527,16:53:08,1550976800.91864,396
268,02/23/19,527,16:53:09,1550976801.98985,364
260,02/23/19,527,16:53:10,1550976803.06177,373
262,02/23/19,527,16:53:11,1550976804.13390,369
258,02/23/19,527,16:53:13,1550976805.20602,373
257,02/23/19,527,16:53:14,1550976806.28436,376
261,02/23/19,527,16:53:15,1550976807.35691,374
264,02/23/19,527,16:53:16,1550976808.42961,370
264,02/23/19,527,16:53:17,1550976809.50049,372
261,02/23/19,527,16:53:18,1550976810.57269,385
263,02/23/19,527,16:53:19,1550976811.64469,372
261,02/23/19,527,16:53:20,1550976812.71742,379
253,02/23/19,527,16:53:21,1550976813.78857,394
251,02/23/19,527,16:53:22,1550976814.86042,395
253,02/23/19,527,16:53:23,1550976815.93253,395
253,02/23/19,527,16:53:24,1550976817.00423,398
253,02/23/19,527,16:53:25,1550976818.07610,402
