p_int,rh_int,t_int,ts
108.171,11.43,34.65,1550874053.4269452
108.149,11.42,34.588,1550874063.9642067
108.139,11.42,34.514,1550874074.5133207
108.117,11.42,34.42,1550874085.0036128
108.093,11.41,34.372,1550874095.552294
108.076,11.41,34.315,1550874106.0822196
108.064,11.41,34.231,1550874116.5690517
108.044,11.41,34.174,1550874127.103707
108.017,11.41,34.094,1550874137.6354597
108.021,11.4,34.032,1550874148.1622236
107.989,11.41,33.969,1550874158.694533
107.983,11.4,33.903,1550874169.2312799
107.964,11.4,33.832,1550874179.76368
107.949,11.41,33.753,1550874190.2636478
107.934,11.4,33.703,1550874200.7921116
107.916,11.4,33.633,1550874211.343018
107.911,11.4,33.573,1550874221.8780468
107.891,11.4,33.515,1550874232.4095283
107.869,11.4,33.442,1550874242.9397085
107.867,11.4,33.385,1550874253.4872215
107.843,11.39,33.315,1550874263.9872987
107.83,11.39,33.267,1550874274.5020678
107.821,11.4,33.203,1550874285.031883
107.814,11.39,33.153,1550874295.5500531
107.795,11.38,33.089,1550874306.108994
107.78,11.4,33.023,1550874316.6385195
107.764,11.4,32.983,1550874327.1619384
107.756,11.39,32.921,1550874337.6616426
107.744,11.39,32.875,1550874348.154951
107.723,11.39,32.807,1550874358.6911721
107.715,11.39,32.749,1550874369.2239823
107.698,11.39,32.688,1550874379.7652357
107.69,11.39,32.648,1550874390.2718081
107.678,11.38,32.581,1550874400.752194
107.661,11.38,32.528,1550874411.289581
107.652,11.39,32.474,1550874421.7724223
107.64,11.39,32.415,1550874432.3084457
107.633,11.39,32.363,1550874442.849947
107.621,11.39,32.327,1550874453.3704474
107.613,11.39,32.274,1550874463.8973615
107.598,11.39,32.228,1550874474.3980508
107.587,11.38,32.168,1550874484.9347987
107.573,11.39,32.125,1550874495.4700134
107.561,11.38,32.069,1550874506.0046883
107.553,11.38,32.029,1550874516.507589
107.541,11.38,31.972,1550874527.04967
107.533,11.39,31.937,1550874537.580385
107.525,11.38,31.895,1550874548.0754614
107.515,11.38,31.851,1550874558.5775733
107.506,11.38,31.797,1550874569.0959895
107.49,11.38,31.749,1550874579.6308005
107.488,11.38,31.712,1550874590.1695201
107.473,11.38,31.65,1550874600.7020783
107.467,11.38,31.624,1550874611.2036414
107.456,11.38,31.566,1550874621.737986
107.45,11.38,31.528,1550874632.2551405
107.425,11.38,31.479,1550874642.78449
107.41,11.38,31.435,1550874653.3189712
107.379,11.38,31.403,1550874663.848295
107.314,11.33,31.422,1550874674.398909
107.297,11.3,31.443,1550874684.9277425
107.287,11.28,31.451,1550874695.4650445
107.301,11.3,31.44,1550874705.9965665
107.305,11.29,31.413,1550874716.4933853
107.301,11.29,31.37,1550874727.0201387
107.304,11.27,31.338,1550874737.5343425
107.298,11.27,31.301,1550874748.0657396
107.299,11.27,31.282,1550874758.5502691
107.3,11.27,31.244,1550874769.0879872
107.298,11.26,31.219,1550874779.622924
107.302,11.26,31.185,1550874790.1469576
107.299,11.25,31.173,1550874800.6805825
107.301,11.25,31.155,1550874811.1893926
107.301,11.25,31.125,1550874821.7202492
107.3,11.24,31.109,1550874832.2486012
107.302,11.23,31.088,1550874842.7864947
107.306,11.23,31.061,1550874853.330803
107.31,11.22,31.059,1550874863.8148506
