Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,996.274,0.015,1719,1504.181,27.903,1550872269.7222476
-0.009,996.283,0.015,1719,1504.101,27.87,1550872270.4389877
-0.01,996.281,0.015,1719,1504.122,27.878,1550872271.1548913
-0.009,996.265,0.015,1719,1504.261,27.935,1550872271.8713076
-0.01,996.261,0.015,1719,1504.289,27.947,1550872272.5878742
-0.009,996.245,0.015,1719,1504.429,28.004,1550872273.3038325
-0.01,996.254,0.015,1719,1504.354,27.973,1550872274.02167
-0.009,996.259,0.015,1719,1504.313,27.956,1550872274.743191
-0.009,996.268,0.015,1719,1504.234,27.924,1550872275.4700413
-0.01,996.267,0.015,1719,1504.246,27.929,1550872276.185342
-0.009,996.279,0.015,1719,1504.141,27.886,1550872276.90532
-0.009,996.257,0.015,1719,1504.329,27.963,1550872277.6232982
-0.01,996.267,0.015,1719,1504.246,27.929,1550872278.339372
-0.009,996.265,0.015,1719,1504.257,27.934,1550872279.0552413
-0.009,996.273,0.015,1719,1504.19,27.906,1550872279.7712696
-0.01,996.27,0.015,1719,1504.218,27.917,1550872280.4887915
-0.009,996.266,0.015,1719,1504.245,27.929,1550872281.2042968
-0.009,996.269,0.015,1719,1504.225,27.921,1550872281.9218502
-0.009,996.261,0.015,1719,1504.289,27.947,1550872282.6445777
-0.009,996.269,0.015,1719,1504.225,27.921,1550872283.3628438
-0.009,996.247,0.015,1719,1504.409,27.995,1550872284.0793464
-0.01,996.257,0.015,1719,1504.329,27.963,1550872284.7961593
-0.01,996.265,0.015,1719,1504.258,27.934,1550872285.5078254
-0.009,996.258,0.015,1719,1504.317,27.958,1550872286.2192576
-0.009,996.262,0.015,1719,1504.286,27.945,1550872286.9364707
-0.009,996.238,0.015,1719,1504.493,28.03,1550872287.6591723
-0.009,996.258,0.015,1719,1504.321,27.96,1550872288.3793366
-0.009,996.256,0.015,1719,1504.333,27.965,1550872289.0916183
-0.01,996.254,0.015,1719,1504.353,27.973,1550872289.8060973
-0.009,996.249,0.015,1719,1504.393,27.989,1550872290.5402937
-0.01,996.242,0.015,1719,1504.461,28.017,1550872291.2504418
-0.01,996.232,0.015,1719,1504.541,28.049,1550872291.967123
-0.009,996.228,0.015,1719,1504.577,28.064,1550872292.6832285
-0.01,996.224,0.015,1719,1504.617,28.08,1550872293.4022126
-0.009,996.248,0.015,1719,1504.401,27.992,1550872294.1171489
-0.009,996.248,0.015,1719,1504.409,27.995,1550872294.8340356
-0.009,996.249,0.015,1719,1504.397,27.991,1550872295.556246
-0.01,996.245,0.015,1719,1504.429,28.004,1550872296.2716641
-0.01,996.245,0.015,1719,1504.433,28.005,1550872297.0030057
-0.01,996.248,0.015,1719,1504.41,27.995,1550872297.7311785
-0.01,996.242,0.015,1719,1504.457,28.015,1550872298.4411576
-0.01,996.244,0.015,1719,1504.441,28.009,1550872299.1561034
-0.01,996.234,0.015,1719,1504.529,28.044,1550872299.8724182
-0.01,996.224,0.015,1719,1504.613,28.079,1550872300.587223
-0.01,996.211,0.015,1719,1504.724,28.124,1550872301.3013313
-0.01,996.246,0.015,1719,1504.422,28.0,1550872302.0166793
-0.01,996.236,0.015,1719,1504.513,28.038,1550872302.731358
-0.009,996.218,0.014,1719,1504.664,28.1,1550872303.463373
-0.009,996.241,0.015,1719,1504.465,28.018,1550872304.1780038
-0.009,996.222,0.015,1719,1504.629,28.085,1550872304.8964736
-0.009,996.223,0.015,1719,1504.616,28.08,1550872305.6111605
-0.01,996.237,0.015,1719,1504.505,28.035,1550872306.3251197
-0.009,996.239,0.015,1719,1504.485,28.026,1550872307.055348
-0.009,996.226,0.015,1719,1504.597,28.072,1550872307.772566
-0.01,996.236,0.015,1719,1504.509,28.036,1550872308.499055
-0.009,996.229,0.015,1719,1504.573,28.062,1550872309.2138488
-0.009,996.215,0.015,1719,1504.692,28.111,1550872309.9400766
-0.01,996.226,0.015,1719,1504.593,28.07,1550872310.6536891
-0.009,996.224,0.015,1719,1504.609,28.077,1550872311.3722672
-0.01,996.235,0.015,1719,1504.517,28.039,1550872312.0942366
-0.009,996.233,0.015,1719,1504.537,28.048,1550872312.809667
-0.009,996.209,0.015,1719,1504.744,28.132,1550872313.5375853
-0.01,996.203,0.015,1719,1504.792,28.152,1550872314.262558
-0.009,996.231,0.015,1719,1504.549,28.052,1550872314.9766402
-0.01,996.221,0.015,1719,1504.637,28.088,1550872315.6991768
-0.01,996.221,0.015,1719,1504.641,28.09,1550872316.419582
-0.009,996.212,0.015,1719,1504.712,28.119,1550872317.1302104
-0.009,996.223,0.015,1719,1504.62,28.082,1550872317.8456464
-0.009,996.229,0.015,1719,1504.569,28.061,1550872318.5623376
-0.01,996.227,0.015,1719,1504.585,28.067,1550872319.2775984
-0.01,996.229,0.015,1719,1504.573,28.062,1550872319.9999013
-0.01,996.198,0.015,1719,1504.84,28.171,1550872320.7148125
-0.01,996.214,0.015,1719,1504.696,28.113,1550872321.4337444
-0.009,996.218,0.015,1719,1504.664,28.1,1550872322.239516
-0.009,996.223,0.014,1719,1504.616,28.08,1550872323.0914679
-0.01,996.214,0.015,1719,1504.7,28.114,1550872323.8394282
-0.01,996.198,0.015,1719,1504.835,28.17,1550872324.5874681
-0.009,996.213,0.015,1719,1504.708,28.118,1550872325.329732
-0.009,996.19,0.015,1719,1504.907,28.199,1550872326.0792978
-0.009,996.191,0.015,1719,1504.895,28.194,1550872326.8080418
-0.01,996.219,0.015,1719,1504.661,28.098,1550872327.5239854
-0.01,996.206,0.015,1719,1504.768,28.142,1550872328.2471304
-0.009,996.218,0.015,1719,1504.664,28.1,1550872328.9619439
-0.009,996.205,0.015,1719,1504.772,28.144,1550872329.6770732
-0.009,996.213,0.015,1719,1504.704,28.116,1550872330.3930442
-0.01,996.208,0.015,1719,1504.752,28.136,1550872331.108068
-0.009,996.212,0.015,1719,1504.712,28.119,1550872331.8180964
-0.01,996.206,0.015,1719,1504.768,28.142,1550872332.5287595
-0.01,996.19,0.015,1719,1504.907,28.199,1550872333.2442381
-0.009,996.179,0.015,1719,1504.994,28.235,1550872333.9649584
-0.009,996.195,0.015,1719,1504.863,28.181,1550872334.675115
-0.009,996.204,0.015,1719,1504.784,28.149,1550872335.3950486
-0.009,996.197,0.015,1719,1504.843,28.173,1550872336.1157944
-0.009,996.203,0.015,1719,1504.792,28.152,1550872336.8289716
-0.01,996.18,0.015,1719,1504.986,28.232,1550872337.5449195
-0.009,996.197,0.015,1719,1504.839,28.171,1550872338.255137
-0.01,996.185,0.015,1719,1504.951,28.217,1550872338.965186
-0.009,996.202,0.015,1719,1504.803,28.157,1550872339.6840227
-0.009,996.189,0.015,1719,1504.911,28.201,1550872340.399233
-0.01,996.187,0.015,1719,1504.931,28.209,1550872341.1130161
-0.01,996.195,0.015,1719,1504.859,28.18,1550872341.8309722
-0.01,996.194,0.015,1719,1504.868,28.183,1550872342.5557733
-0.01,996.192,0.015,1719,1504.887,28.191,1550872343.2688453
-0.009,996.162,0.015,1719,1505.137,28.294,1550872343.983261
-0.009,996.187,0.015,1719,1504.931,28.209,1550872344.6965404
-0.01,996.186,0.015,1719,1504.935,28.211,1550872345.4073725
-0.009,996.158,0.015,1719,1505.173,28.308,1550872346.1218631
-0.01,996.184,0.015,1719,1504.955,28.219,1550872346.8391182
-0.01,996.183,0.015,1719,1504.967,28.224,1550872347.557397
-0.009,996.179,0.015,1719,1504.994,28.235,1550872348.2790952
-0.009,996.183,0.015,1719,1504.966,28.224,1550872349.0015574
-0.01,996.177,0.015,1719,1505.018,28.245,1550872349.71787
-0.01,996.152,0.015,1719,1505.224,28.33,1550872350.4330013
-0.009,996.181,0.015,1719,1504.978,28.228,1550872351.1490676
-0.01,996.147,0.015,1719,1505.272,28.349,1550872351.86182
-0.009,996.173,0.015,1719,1505.05,28.258,1550872352.5773444
-0.01,996.145,0.015,1719,1505.284,28.354,1550872353.287917
-0.01,996.15,0.015,1719,1505.24,28.336,1550872354.0093563
-0.009,996.177,0.015,1719,1505.014,28.243,1550872354.7212753
-0.01,996.15,0.015,1719,1505.24,28.336,1550872355.4331632
-0.009,996.168,0.015,1719,1505.089,28.274,1550872356.1543252
-0.01,996.168,0.015,1719,1505.09,28.274,1550872356.8727627
-0.009,996.156,0.015,1719,1505.192,28.317,1550872357.5954995
-0.009,996.147,0.015,1719,1505.268,28.348,1550872358.3096535
-0.009,996.173,0.015,1719,1505.05,28.258,1550872359.0258243
-0.01,996.171,0.015,1719,1505.062,28.263,1550872359.7479951
-0.01,996.154,0.015,1719,1505.208,28.323,1550872360.4677575
-0.01,996.174,0.015,1719,1505.042,28.255,1550872361.1845016
-0.01,996.172,0.015,1719,1505.058,28.261,1550872361.9151933
-0.009,996.166,0.015,1719,1505.105,28.281,1550872362.629476
-0.01,996.161,0.015,1719,1505.149,28.299,1550872363.3405437
-0.009,996.149,0.015,1719,1505.248,28.339,1550872364.0555215
-0.01,996.152,0.015,1719,1505.228,28.331,1550872364.774283
-0.01,996.164,0.015,1719,1505.125,28.289,1550872365.4915547
-0.01,996.168,0.015,1719,1505.094,28.276,1550872366.206446
-0.009,996.154,0.015,1719,1505.208,28.323,1550872366.9229114
-0.01,996.164,0.015,1719,1505.125,28.289,1550872367.646435
-0.01,996.16,0.015,1719,1505.161,28.303,1550872368.3605723
-0.01,996.156,0.015,1719,1505.196,28.318,1550872369.083706
-0.01,996.154,0.015,1719,1505.208,28.323,1550872369.800103
-0.01,996.161,0.015,1719,1505.153,28.3,1550872370.514452
-0.009,996.16,0.015,1719,1505.161,28.303,1550872371.239371
-0.01,996.161,0.015,1719,1505.153,28.3,1550872371.9675844
-0.009,996.138,0.015,1719,1505.343,28.379,1550872372.6836042
-0.01,996.155,0.015,1719,1505.201,28.32,1550872373.4074419
-0.009,996.13,0.015,1719,1505.406,28.405,1550872374.1260054
-0.01,996.134,0.015,1719,1505.382,28.395,1550872374.8409774
-0.009,996.158,0.015,1719,1505.173,28.308,1550872375.5609698
-0.009,996.155,0.015,1719,1505.2,28.32,1550872376.2779117
-0.01,996.154,0.015,1719,1505.212,28.325,1550872376.9945884
-0.01,996.154,0.015,1719,1505.212,28.325,1550872377.7167277
-0.01,996.153,0.015,1719,1505.216,28.326,1550872378.4318855
-0.01,996.153,0.015,1719,1505.216,28.326,1550872379.1473777
-0.01,996.145,0.015,1719,1505.284,28.354,1550872379.8676755
-0.009,996.152,0.015,1719,1505.224,28.33,1550872380.583795
-0.01,996.133,0.015,1719,1505.39,28.398,1550872381.3119497
-0.009,996.148,0.015,1719,1505.256,28.343,1550872382.079415
-0.009,996.133,0.015,1719,1505.39,28.398,1550872382.8603284
-0.009,996.148,0.015,1719,1505.26,28.344,1550872383.6033905
-0.009,996.149,0.015,1719,1505.248,28.339,1550872384.3433597
-0.01,996.143,0.015,1719,1505.307,28.364,1550872385.079359
-0.009,996.143,0.015,1719,1505.299,28.361,1550872385.815274
-0.01,996.137,0.015,1719,1505.351,28.382,1550872386.535873
-0.009,996.145,0.015,1719,1505.283,28.354,1550872387.2550516
-0.01,996.136,0.015,1719,1505.363,28.387,1550872387.9711823
-0.01,996.13,0.015,1719,1505.414,28.408,1550872388.685692
-0.009,996.13,0.015,1719,1505.414,28.408,1550872389.4025269
-0.01,996.138,0.015,1719,1505.343,28.379,1550872390.1170757
-0.009,996.132,0.015,1719,1505.394,28.4,1550872390.833672
-0.01,996.139,0.015,1719,1505.339,28.377,1550872391.546908
-0.01,996.135,0.015,1719,1505.371,28.39,1550872392.266163
-0.009,996.133,0.015,1719,1505.386,28.396,1550872392.986861
-0.01,996.132,0.015,1719,1505.394,28.4,1550872393.7016182
-0.009,996.116,0.015,1719,1505.524,28.454,1550872394.4191792
-0.01,996.133,0.015,1719,1505.386,28.396,1550872395.1423905
-0.009,996.11,0.015,1719,1505.58,28.476,1550872395.856814
-0.01,996.132,0.015,1719,1505.398,28.401,1550872396.5669086
-0.01,996.124,0.015,1719,1505.465,28.429,1550872397.2804985
-0.01,996.111,0.015,1719,1505.572,28.473,1550872397.9988544
-0.01,996.11,0.015,1719,1505.584,28.478,1550872398.7128043
-0.009,996.13,0.015,1719,1505.41,28.406,1550872399.4375153
-0.01,996.115,0.015,1719,1505.537,28.459,1550872400.1574605
-0.009,996.129,0.015,1719,1505.422,28.411,1550872400.8820767
-0.01,996.099,0.015,1719,1505.671,28.514,1550872401.5935645
-0.01,996.124,0.015,1719,1505.465,28.429,1550872402.310467
-0.01,996.123,0.015,1719,1505.473,28.432,1550872403.0278552
-0.01,996.116,0.015,1719,1505.529,28.455,1550872403.741735
-0.01,996.125,0.015,1719,1505.457,28.426,1550872404.458502
-0.009,996.123,0.015,1719,1505.469,28.431,1550872405.1788168
-0.01,996.12,0.015,1719,1505.493,28.441,1550872405.8961957
-0.009,996.098,0.015,1719,1505.678,28.517,1550872406.6163175
-0.01,996.117,0.015,1719,1505.525,28.454,1550872407.3329272
-0.01,996.118,0.015,1719,1505.513,28.449,1550872408.0532818
-0.009,996.103,0.015,1719,1505.635,28.499,1550872408.776684
-0.01,996.112,0.015,1719,1505.564,28.47,1550872409.495337
-0.009,996.098,0.015,1719,1505.678,28.517,1550872410.2103117
-0.01,996.114,0.015,1719,1505.548,28.463,1550872410.9405832
-0.009,996.092,0.015,1719,1505.73,28.539,1550872411.6614335
-0.01,996.086,0.015,1719,1505.781,28.56,1550872412.379174
-0.01,996.109,0.015,1719,1505.584,28.478,1550872413.1009166
-0.009,996.1,0.015,1719,1505.663,28.511,1550872413.811306
-0.01,996.094,0.015,1719,1505.718,28.534,1550872414.5283778
-0.01,996.081,0.015,1719,1505.82,28.576,1550872415.2491407
