Chlorophyll,date,Thermistor,time,ts,Turbidity
234,02/22/19,526,12:15:18,1550873729.6071277,389
232,02/22/19,526,12:15:19,1550873730.6637049,385
233,02/22/19,526,12:15:20,1550873731.7354863,382
253,02/22/19,526,12:15:21,1550873732.8075485,387
233,02/22/19,526,12:15:22,1550873733.885656,377
236,02/22/19,526,12:15:23,1550873734.957807,375
235,02/22/19,526,12:15:24,1550873736.0294337,380
236,02/22/19,526,12:15:25,1550873737.1015017,377
236,02/22/19,526,12:15:26,1550873738.1732364,391
237,02/22/19,527,12:15:27,1550873739.2451558,385
236,02/22/19,526,12:15:28,1550873740.3177733,388
234,02/22/19,526,12:15:29,1550873741.389984,390
234,02/22/19,526,12:15:31,1550873742.4609194,393
237,02/22/19,526,12:15:32,1550873743.5329416,417
239,02/22/19,526,12:15:33,1550873744.6047678,447
239,02/22/19,526,12:15:34,1550873745.676619,438
240,02/22/19,526,12:15:35,1550873746.7692354,419
237,02/22/19,526,12:15:37,1550873748.8921618,418
239,02/22/19,526,12:15:38,1550873749.9643478,406
239,02/22/19,526,12:15:39,1550873751.0360074,409
241,02/22/19,526,12:15:40,1550873752.1079717,423
242,02/22/19,526,12:15:41,1550873753.1875174,407
242,02/22/19,526,12:15:42,1550873754.2513332,421
238,02/22/19,526,12:15:43,1550873755.3232462,441
238,02/22/19,526,12:15:44,1550873756.3972878,431
237,02/22/19,526,12:15:46,1550873757.474857,413
239,02/22/19,527,12:15:47,1550873758.5456238,438
237,02/22/19,526,12:15:48,1550873759.6172135,453
240,02/22/19,527,12:15:49,1550873760.6941986,466
239,02/22/19,526,12:15:50,1550873761.7611125,432
237,02/22/19,527,12:15:51,1550873762.8569143,456
240,02/22/19,526,12:15:53,1550873765.0234654,470
239,02/22/19,527,12:15:55,1550873767.1273346,455
242,02/22/19,527,12:15:57,1550873769.2618647,448
241,02/22/19,526,12:15:58,1550873770.3379416,439
240,02/22/19,526,12:16:00,1550873771.4052248,426
239,02/22/19,527,12:16:01,1550873772.476658,445
