p,rh,t,ts
101.508,52.02,30.706,1550873055.19193
101.507,51.97,30.718,1550873057.65925
101.507,51.96,30.721,1550873060.12594
101.507,51.94,30.726,1550873062.59427
101.505,51.95,30.738,1550873065.06124
101.505,51.98,30.745,1550873067.52888
101.506,51.97,30.76,1550873069.99692
101.509,51.97,30.772,1550873072.46401
101.506,52,30.776,1550873074.93127
101.506,52.04,30.787,1550873077.40155
101.506,52.05,30.793,1550873079.87288
101.507,52.05,30.801,1550873082.34039
101.509,52.05,30.81,1550873084.80776
101.508,52.08,30.822,1550873087.27578
101.506,52.12,30.825,1550873089.74231
101.505,52.11,30.841,1550873092.20965
101.508,52.09,30.851,1550873094.67188
101.502,52.04,30.855,1550873097.13990
101.502,51.96,30.866,1550873099.60748
101.505,51.86,30.875,1550873102.07485
101.504,51.78,30.881,1550873104.54335
101.502,51.73,30.889,1550873107.00556
101.504,51.66,30.894,1550873109.47346
101.503,51.59,30.894,1550873111.94211
101.505,51.53,30.899,1550873114.41193
101.505,51.49,30.906,1550873116.87900
101.503,51.42,30.914,1550873119.34585
101.503,51.36,30.919,1550873121.80882
101.504,51.32,30.925,1550873124.27166
101.506,51.3,30.929,1550873126.73880
101.504,51.31,30.933,1550873129.20022
101.504,51.33,30.936,1550873131.66202
101.503,51.28,30.937,1550873134.13149
101.505,51.22,30.944,1550873136.59976
101.505,51.16,30.95,1550873139.07038
101.504,51.07,30.956,1550873141.53703
101.505,51.01,30.96,1550873144.00179
101.505,50.93,30.958,1550873146.46717
101.505,50.87,30.964,1550873148.93677
101.503,50.8,30.965,1550873151.40658
101.505,50.77,30.97,1550873153.87211
101.506,50.77,30.974,1550873156.34010
101.504,50.74,30.98,1550873158.80779
101.503,50.7,30.98,1550873161.27485
101.507,50.69,30.99,1550873163.74272
101.507,50.72,31.001,1550873166.20174
101.505,50.37,30.992,1550873168.66951
101.504,50.18,31,1550873171.13714
101.503,50.07,30.993,1550873173.60551
101.5,49.95,30.988,1550873176.07373
101.506,49.88,30.985,1550873178.53181
101.503,49.84,30.969,1550873181.00187
101.501,49.83,30.961,1550873183.47187
101.503,49.63,30.942,1550873185.93153
101.502,49.49,30.918,1550873188.39965
101.501,49.39,30.894,1550873190.86847
101.501,49.43,30.864,1550873193.33174
101.504,49.53,30.842,1550873195.79887
101.506,49.66,30.816,1550873198.27045
101.504,49.8,30.797,1550873200.73939
101.501,49.94,30.785,1550873203.20024
101.504,50.07,30.772,1550873205.66761
101.503,50.16,30.759,1550873208.13179
101.504,50.21,30.752,1550873210.59467
101.503,50.25,30.742,1550873213.06176
101.502,50.32,30.735,1550873215.52295
101.501,50.42,30.731,1550873217.98367
101.501,50.52,30.732,1550873220.45289
101.502,50.58,30.734,1550873222.91356
101.501,50.63,30.74,1550873225.38080
101.505,50.67,30.743,1550873227.84790
101.502,50.7,30.754,1550873230.31117
101.503,50.72,30.756,1550873232.77996
101.504,50.71,30.763,1550873235.24878
101.501,50.69,30.767,1550873237.71689
101.503,50.66,30.772,1550873240.18224
101.505,50.65,30.776,1550873242.64993
101.501,50.68,30.779,1550873245.11765
101.502,50.71,30.788,1550873247.58562
101.502,50.75,30.791,1550873250.05341
101.504,50.78,30.805,1550873252.52112
101.505,50.79,30.81,1550873254.98883
101.502,50.81,30.816,1550873257.45659
101.498,50.88,30.826,1550873259.92286
101.507,50.96,30.83,1550873262.39297
101.501,51,30.843,1550873264.86082
101.506,50.98,30.853,1550873267.32891
101.499,50.94,30.855,1550873269.79560
101.501,50.95,30.863,1550873272.26279
101.502,50.99,30.872,1550873274.73014
101.501,51.06,30.885,1550873277.19142
101.499,51.13,30.89,1550873279.65864
101.5,51.16,30.899,1550873282.12828
101.5,51.13,30.913,1550873284.59584
101.501,51.1,30.919,1550873287.06310
101.507,51.11,30.932,1550873289.53106
101.501,51.14,30.94,1550873291.99919
101.504,51.17,30.948,1550873294.46402
101.502,51.18,30.962,1550873296.92203
101.499,51.16,30.97,1550873299.38177
101.499,51.13,30.979,1550873301.84986
101.501,51.14,30.986,1550873304.31832
101.497,51.2,30.992,1550873306.78855
101.499,51.25,31.001,1550873309.25646
101.501,51.27,31.011,1550873311.72468
101.5,51.27,31.018,1550873314.19241
101.496,51.26,31.026,1550873316.66350
101.499,51.24,31.034,1550873319.13151
101.5,51.23,31.042,1550873321.60008
101.501,51.21,31.05,1550873324.06126
101.497,51.18,31.048,1550873326.52938
101.499,51.18,31.056,1550873328.99718
101.504,51.17,31.061,1550873331.46529
101.5,51.16,31.064,1550873333.93386
101.502,51.12,31.066,1550873336.40196
101.498,51.09,31.075,1550873338.86197
101.499,51.05,31.087,1550873341.32180
101.5,50.99,31.096,1550873343.78982
101.499,50.95,31.1,1550873346.25245
101.498,50.92,31.113,1550873348.72068
101.498,50.91,31.113,1550873351.18845
101.497,50.95,31.122,1550873353.65668
101.498,50.99,31.129,1550873356.12171
101.495,51,31.139,1550873358.59019
101.5,50.98,31.148,1550873361.05983
101.499,50.95,31.156,1550873363.52762
