AirSaturation,O2Concentration,SN,Temperature,ts
12.215,33.395,831,21.92,1550874294.1631474
12.171,33.276,831,21.92,1550874295.4573174
12.101,33.084,831,21.92,1550874296.7490845
12.1,33.082,831,21.92,1550874298.0432513
12.024,32.873,831,21.921,1550874299.3353987
11.996,32.796,831,21.922,1550874300.6232417
11.969,32.72,831,21.922,1550874301.911643
11.972,32.729,831,21.922,1550874303.235497
11.94,32.643,831,21.922,1550874304.5701773
11.902,32.538,831,21.921,1550874305.8828266
11.88,32.477,831,21.921,1550874307.18447
11.956,32.687,831,21.921,1550874308.472403
11.893,32.515,831,21.921,1550874309.772603
11.865,32.438,831,21.921,1550874311.0635405
11.815,32.301,831,21.921,1550874312.355986
11.719,32.037,831,21.921,1550874313.6632366
11.689,31.956,831,21.921,1550874314.9597354
11.583,31.667,831,21.921,1550874316.254556
11.523,31.502,831,21.921,1550874317.5477176
11.474,31.37,831,21.921,1550874318.8396907
11.424,31.233,831,21.92,1550874320.130901
11.402,31.172,831,21.92,1550874321.4256666
11.321,30.949,831,21.92,1550874322.7198524
11.306,30.909,831,21.921,1550874324.0118651
11.269,30.806,831,21.922,1550874325.3042061
11.233,30.71,831,21.923,1550874326.5974205
11.334,30.983,831,21.924,1550874327.8889177
11.226,30.688,831,21.925,1550874329.1858845
11.241,30.729,831,21.925,1550874330.473857
11.324,30.956,831,21.925,1550874331.7659953
11.432,31.25,831,21.925,1550874333.0653722
11.503,31.445,831,21.925,1550874334.3581305
11.621,31.768,831,21.925,1550874335.65515
11.711,32.015,831,21.924,1550874336.9433424
11.744,32.106,831,21.923,1550874338.2351604
11.858,32.417,831,21.922,1550874339.538426
11.81,32.286,831,21.921,1550874340.8437765
11.879,32.475,831,21.92,1550874342.1392827
11.85,32.397,831,21.919,1550874343.4313242
11.88,32.479,831,21.919,1550874344.718917
11.947,32.663,831,21.92,1550874346.0322478
11.914,32.574,831,21.92,1550874347.3244107
11.921,32.592,831,21.92,1550874348.6164217
11.952,32.674,831,21.92,1550874349.904389
11.964,32.708,831,21.921,1550874351.1914694
11.964,32.708,831,21.921,1550874352.5011728
11.902,32.538,831,21.921,1550874353.8140159
11.901,32.535,831,21.921,1550874355.109439
11.891,32.509,831,21.921,1550874356.4015827
11.911,32.563,831,21.921,1550874357.692417
11.892,32.512,831,21.921,1550874359.002936
11.847,32.389,831,21.921,1550874360.2949963
11.794,32.243,831,21.921,1550874361.5917985
11.798,32.255,831,21.922,1550874362.8959053
11.731,32.07,831,21.923,1550874364.2208679
11.745,32.109,831,21.923,1550874365.545285
11.81,32.285,831,21.924,1550874366.8782814
11.805,32.271,831,21.924,1550874368.1909802
11.814,32.295,831,21.924,1550874369.4818811
11.858,32.416,831,21.925,1550874370.7749183
11.825,32.325,831,21.927,1550874372.0714262
11.861,32.421,831,21.928,1550874373.3641553
11.876,32.463,831,21.929,1550874374.6540039
11.894,32.512,831,21.931,1550874375.9480717
11.88,32.47,831,21.933,1550874377.24109
11.846,32.377,831,21.934,1550874378.5394368
11.881,32.471,831,21.935,1550874379.8303773
11.713,32.013,831,21.937,1550874381.1224434
11.707,31.996,831,21.937,1550874382.412721
11.624,31.77,831,21.937,1550874383.7052505
11.606,31.72,831,21.937,1550874385.0065546
11.597,31.696,831,21.937,1550874386.300481
11.537,31.53,831,21.938,1550874387.6073964
11.592,31.681,831,21.938,1550874388.917356
11.568,31.615,831,21.939,1550874390.2094479
11.635,31.798,831,21.94,1550874391.49727
11.628,31.778,831,21.941,1550874392.793168
11.576,31.635,831,21.941,1550874394.0854075
11.637,31.803,831,21.941,1550874395.3734858
11.571,31.621,831,21.941,1550874396.6614356
11.587,31.665,831,21.94,1550874397.9525495
11.553,31.575,831,21.938,1550874399.2454755
11.557,31.585,831,21.937,1550874400.5324605
11.558,31.589,831,21.935,1550874401.82766
11.558,31.589,831,21.934,1550874403.1196952
11.563,31.605,831,21.933,1550874404.4077318
11.498,31.428,831,21.933,1550874405.7038298
11.626,31.775,831,21.933,1550874406.9959307
11.53,31.513,831,21.933,1550874408.2837937
11.55,31.57,831,21.933,1550874409.5874233
11.494,31.418,831,21.931,1550874410.8972368
11.427,31.235,831,21.929,1550874412.1858008
11.371,31.083,831,21.927,1550874413.4738805
11.281,30.839,831,21.925,1550874414.7649772
11.256,30.77,831,21.924,1550874416.060976
11.331,30.977,831,21.923,1550874417.3480155
11.32,30.948,831,21.922,1550874418.6401112
11.379,31.11,831,21.921,1550874419.9340854
11.416,31.21,831,21.921,1550874421.2313805
11.425,31.234,831,21.92,1550874422.5962164
11.485,31.398,831,21.92,1550874423.95138
11.448,31.298,831,21.92,1550874425.2613645
11.488,31.408,831,21.92,1550874426.627334
11.541,31.552,831,21.919,1550874427.9283035
11.652,31.858,831,21.918,1550874429.2313669
11.575,31.645,831,21.918,1550874430.524295
11.592,31.693,831,21.917,1550874431.8122308
11.628,31.793,831,21.916,1550874433.1045732
11.644,31.835,831,21.916,1550874434.4070914
11.598,31.71,831,21.916,1550874435.7006555
11.628,31.792,831,21.915,1550874436.992566
11.585,31.676,831,21.914,1550874438.2804832
11.527,31.518,831,21.914,1550874439.5725462
