"","ts","depth","p","dt","Toptode","O2Concentration","AirSaturation","SNoptode","Tec","Conductivity","Salinity","SNec","Chlorophyll","Turbidity","pW","station","SA","rho","Z","O2Comp","lat","lon"
"38","17.07.2018 10:43",0.63204295,110.48,"17.07.2018 20:43",28.013,271.016,110.957,829,27.826,61.247,38.698,1413,"412","870",6.349,2,38.88071513,1025.238243,0.631174046,218.526303189437,21.88765,-159.5269167
"39","17.07.2018 10:43",0.70889555,111.252,"17.07.2018 20:43",28.02,273.269,111.893,829,27.873,61.245,38.657,1413,"454","863",7.121,2,38.83952143,1025.192156,0.707933744,220.396097251661,21.88765,-159.5269167
"40","17.07.2018 10:43",0.72123975,111.376,"17.07.2018 20:43",28.025,274.245,112.302,829,27.931,61.244,38.609,1413,"459","861",7.245,2,38.79129478,1025.136869,0.720263632,221.244091066728,21.88765,-159.5269167
"41","17.07.2018 10:43",0.73497765,111.514,"17.07.2018 20:43",28.029,274.725,112.507,829,27.939,61.251,38.608,1413,"451","855",7.383,2,38.79029004,1025.133527,0.733985996,221.633998863364,21.88765,-159.5269167
"42","17.07.2018 10:50",0.7571773,111.737,"17.07.2018 20:50",27.178,78.13,31.515,829,27.175,61.488,39.417,1413,"580","734",7.606,2,39.60310975,1025.994509,0.756151272,62.6653223572497,21.88765,-159.5269167
"43","17.07.2018 10:44",0.95558045,113.73,"17.07.2018 20:44",28.025,278.231,113.936,829,27.988,61.245,38.563,1413,"461","857",9.599,2,38.74507724,1025.084354,0.954251974,224.518888500311,21.88765,-159.5269167
"44","17.07.2018 10:43",1.15726875,115.756,"17.07.2018 20:43",28.029,276.575,113.265,829,27.985,61.23,38.555,1413,"504","858",11.625,2,38.73703916,1025.080189,1.155722588,223.195306527263,21.88765,-159.5269167
"45","17.07.2018 10:44",1.17538685,115.938,"17.07.2018 20:44",28.022,279.731,114.543,829,28.004,61.248,38.551,1413,"508","855",11.807,2,38.73302025,1025.070957,1.173821251,225.744955597744,21.88765,-159.5269167
"46","17.07.2018 10:43",1.2316326,116.503,"17.07.2018 20:43",28.031,275.638,112.886,829,27.977,61.24,38.569,1413,"465","860",12.372,2,38.75110515,1025.093701,1.230006291,222.423031916157,21.88765,-159.5269167
"47","17.07.2018 10:44",1.2330263,116.517,"17.07.2018 20:44",28.021,280.125,114.702,829,27.993,61.243,38.557,1413,"550","854",12.386,2,38.73904849,1025.079368,1.231398481,226.055447985015,21.88765,-159.5269167
"48","17.07.2018 10:44",1.4100262,118.295,"17.07.2018 20:44",28.018,279.786,114.557,829,27.995,61.09,38.447,1413,"570","867",14.164,2,38.62852886,1024.996639,1.408214978,225.920351524904,21.88765,-159.5269167
"49","17.07.2018 10:44",1.8562093,122.777,"17.07.2018 20:44",27.952,271.662,111.102,829,27.962,61.132,38.504,1413,"679","854",18.646,2,38.68579732,1025.052402,1.853941617,219.272149213276,21.88765,-159.5269167
"50","17.07.2018 10:44",1.8599922,122.815,"17.07.2018 20:44",27.979,276.411,113.097,829,27.98,61.132,38.489,1413,"647","856",18.684,2,38.67072649,1025.035162,1.857720576,223.133063206434,21.88765,-159.5269167
"51","17.07.2018 10:44",1.86088815,122.824,"17.07.2018 20:44",27.995,276.845,113.306,829,27.999,61.117,38.462,1413,"601","855",18.693,2,38.64359901,1025.008541,1.858615612,223.522394499188,21.88765,-159.5269167
"52","17.07.2018 10:44",1.8631778,122.847,"17.07.2018 20:44",27.965,274.782,112.403,829,27.968,61.142,38.506,1413,"683","858",18.716,2,38.68780675,1025.051951,1.860902906,221.792398201898,21.88765,-159.5269167
"53","17.07.2018 10:45",2.1711855,125.941,"17.07.2018 20:45",27.927,260.223,106.375,829,27.934,61.123,38.52,1413,"694","853",21.81,2,38.70187239,1025.075071,2.1685838,210.01463464846,21.88765,-159.5269167
"54","17.07.2018 10:45",2.1968694,126.199,"17.07.2018 20:45",27.918,258.371,105.603,829,27.939,61.164,38.545,1413,"694","853",22.068,2,38.72699039,1025.092352,2.194239943,208.488280280869,21.88765,-159.5269167
"55","17.07.2018 10:45",2.2635679,126.869,"17.07.2018 20:45",27.933,264.259,108.037,829,27.944,61.182,38.554,1413,"714","855",22.738,2,38.73603278,1025.09776,2.260865623,213.234122345638,21.88765,-159.5269167
"56","17.07.2018 10:44",2.2792968,127.027,"17.07.2018 20:44",27.939,268.491,109.78,829,27.949,61.175,38.545,1413,"684","870",22.896,2,38.72699026,1025.089394,2.276577373,216.661910974201,21.88765,-159.5269167
"57","17.07.2018 10:45",2.38093735,128.048,"17.07.2018 20:45",27.914,255.334,104.354,829,27.934,61.179,38.56,1413,"713","855",23.917,2,38.74206093,1025.106092,2.378106688,206.020388454695,21.88765,-159.5269167
"58","17.07.2018 10:45",2.4375813,128.617,"17.07.2018 20:45",27.911,252.385,103.144,829,27.929,61.184,38.568,1413,"714","855",24.486,2,38.75009862,1025.114014,2.434687968,203.631315553394,21.88765,-159.5269167
"59","17.07.2018 10:45",2.5586341,129.833,"17.07.2018 20:45",27.909,249.698,102.041,829,27.931,61.183,38.566,1413,"726","887",25.702,2,38.748089,1025.112365,2.555606467,201.465785125805,21.88765,-159.5269167
"60","17.07.2018 10:45",2.5727702,129.975,"17.07.2018 20:45",27.91,251.156,102.64,829,27.929,61.188,38.57,1413,"736","856",25.844,2,38.75210786,1025.1161,2.569726869,202.638040960201,21.88765,-159.5269167
