"";"ts";"depth";"p";"dt";"Toptode";"O2Concentration";"AirSaturation";"SNoptode";"Tec";"Conductivity";"Salinity";"SNec";"Chlorophyll";"Turbidity";"pW";"station"
"54";"2018-07-17 10:44:29";1.86088815;122.824;2018-07-17 20:44:29;"27.995";"276.845";"113.306";"829";"27.999";"61.117";"38.462";"1413";"601";"855";18.693;2
"55";"2018-07-17 10:44:36";1.8599922;122.815;2018-07-17 20:44:36;"27.979";"276.411";"113.097";"829";"27.98";"61.132";"38.489";"1413";"647";"856";18.684;2
"56";"2018-07-17 10:44:42";1.8631778;122.847;2018-07-17 20:44:42;"27.965";"274.782";"112.403";"829";"27.968";"61.142";"38.506";"1413";"683";"858";18.716;2
"57";"2018-07-17 10:44:49";1.8562093;122.777;2018-07-17 20:44:49;"27.952";"271.662";"111.102";"829";"27.962";"61.132";"38.504";"1413";"679";"854";18.646;2
"58";"2018-07-17 10:44:56";2.2792968;127.027;2018-07-17 20:44:56;"27.939";"268.491";"109.78";"829";"27.949";"61.175";"38.545";"1413";"684";"870";22.896;2
"59";"2018-07-17 10:45:03";2.2635679;126.869;2018-07-17 20:45:03;"27.933";"264.259";"108.037";"829";"27.944";"61.182";"38.554";"1413";"714";"855";22.738;2
"60";"2018-07-17 10:45:10";2.1711855;125.941;2018-07-17 20:45:10;"27.927";"260.223";"106.375";"829";"27.934";"61.123";"38.52";"1413";"694";"853";21.81;2
"61";"2018-07-17 10:45:17";2.1968694;126.199;2018-07-17 20:45:17;"27.918";"258.371";"105.603";"829";"27.939";"61.164";"38.545";"1413";"694";"853";22.068;2
"62";"2018-07-17 10:45:23";2.38093735;128.048;2018-07-17 20:45:23;"27.914";"255.334";"104.354";"829";"27.934";"61.179";"38.56";"1413";"713";"855";23.917;2
"63";"2018-07-17 10:45:30";2.4375813;128.617;2018-07-17 20:45:30;"27.911";"252.385";"103.144";"829";"27.929";"61.184";"38.568";"1413";"714";"855";24.486;2
"64";"2018-07-17 10:45:37";2.5727702;129.975;2018-07-17 20:45:37;"27.91";"251.156";"102.64";"829";"27.929";"61.188";"38.57";"1413";"736";"856";25.844;2
"65";"2018-07-17 10:45:44";2.5586341;129.833;2018-07-17 20:45:44;"27.909";"249.698";"102.041";"829";"27.931";"61.183";"38.566";"1413";"726";"887";25.702;2
"66";"2018-07-17 10:45:51";3.0145731;134.413;2018-07-17 20:45:51;"27.905";"246.378";"100.677";"829";"27.929";"61.286";"38.64";"1413";"745";"870";30.282;2
"67";"2018-07-17 10:45:57";2.9482728;133.747;2018-07-17 20:45:57;"27.901";"241.017";"98.479";"829";"27.922";"61.248";"38.618";"1413";"772";"884";29.616;2
"68";"2018-07-17 10:46:04";2.9516575;133.781;2018-07-17 20:46:04;"27.892";"234.433";"95.774";"829";"27.914";"61.223";"38.608";"1413";"751";"855";29.65;2
"69";"2018-07-17 10:46:11";2.99934195;134.26;2018-07-17 20:46:11;"27.887";"230.227";"94.047";"829";"27.909";"61.264";"38.641";"1413";"745";"854";30.129;2
