X,Y,NomiluSona
-159.5268685,21.88767015,5.32401
-159.5267787,21.88767015,5.28183
-159.5266889,21.88767015,5.21716
-159.526599,21.88767015,5.14836
-159.5265092,21.88767015,4.80152
-159.5264194,21.88767015,4.20121
-159.5263295,21.88767015,3.57429
-159.5262397,21.88767015,2.90439
-159.5261499,21.88767015,2.26529
-159.52606,21.88767015,1.62399
-159.5259702,21.88767015,1.03152
-159.5258804,21.88767015,0.65014
-159.527677,21.88758679,0.94455
-159.5275872,21.88758679,2.02888
-159.5274974,21.88758679,3.23832
-159.5274075,21.88758679,4.15483
-159.5273177,21.88758679,4.79271
-159.5272279,21.88758679,5.15511
-159.527138,21.88758679,5.3573
-159.5270482,21.88758679,5.47701
-159.5269584,21.88758679,5.58625
-159.5268685,21.88758679,5.60364
-159.5267787,21.88758679,5.52199
-159.5266889,21.88758679,5.40668
-159.526599,21.88758679,5.26327
-159.5265092,21.88758679,4.79891
-159.5264194,21.88758679,4.1976
-159.5263295,21.88758679,3.5898
-159.5262397,21.88758679,2.94322
-159.5261499,21.88758679,2.32944
-159.52606,21.88758679,1.7137
-159.5259702,21.88758679,1.11989
-159.5258804,21.88758679,0.54663
-159.5277668,21.88750344,0.62405
-159.527677,21.88750344,1.65365
-159.5275872,21.88750344,2.64118
-159.5274974,21.88750344,3.73902
-159.5274075,21.88750344,4.50759
-159.5273177,21.88750344,5.23762
-159.5272279,21.88750344,5.57571
-159.527138,21.88750344,5.72653
-159.5270482,21.88750344,5.83026
-159.5269584,21.88750344,5.87195
-159.5268685,21.88750344,5.84586
-159.5267787,21.88750344,5.76836
-159.5266889,21.88750344,5.61273
-159.526599,21.88750344,5.34293
-159.5265092,21.88750344,4.75748
-159.5264194,21.88750344,4.15499
-159.5263295,21.88750344,3.55204
-159.5262397,21.88750344,2.91335
-159.5261499,21.88750344,2.30153
-159.52606,21.88750344,1.68739
-159.5259702,21.88750344,1.07366
-159.5258804,21.88750344,0.33567
-159.5277668,21.88742008,1.02264
-159.527677,21.88742008,1.96371
-159.5275872,21.88742008,3.09134
-159.5274974,21.88742008,4.39267
-159.5274075,21.88742008,5.05513
-159.5273177,21.88742008,5.61015
-159.5272279,21.88742008,5.75665
-159.527138,21.88742008,5.92994
-159.5270482,21.88742008,6.12591
-159.5269584,21.88742008,6.08775
-159.5268685,21.88742008,6.05655
-159.5267787,21.88742008,5.98554
-159.5266889,21.88742008,5.7686
-159.526599,21.88742008,5.34036
-159.5265092,21.88742008,4.71384
-159.5264194,21.88742008,4.1112
-159.5263295,21.88742008,3.50857
-159.5262397,21.88742008,2.87254
-159.5261499,21.88742008,2.2701
-159.52606,21.88742008,1.66418
-159.5259702,21.88742008,0.97396
-159.5278567,21.88733672,0.41601
-159.5277668,21.88733672,1.54833
-159.527677,21.88733672,2.27754
-159.5275872,21.88733672,3.43486
-159.5274974,21.88733672,4.78258
-159.5274075,21.88733672,5.48949
-159.5273177,21.88733672,5.89801
-159.5272279,21.88733672,5.9222
-159.527138,21.88733672,6.0426
-159.5270482,21.88733672,6.27372
-159.5269584,21.88733672,6.25344
-159.5268685,21.88733672,6.20209
-159.5267787,21.88733672,6.15002
-159.5266889,21.88733672,5.85186
-159.526599,21.88733672,5.2844
-159.5265092,21.88733672,4.63872
-159.5264194,21.88733672,4.03264
-159.5263295,21.88733672,3.42812
-159.5262397,21.88733672,2.79029
-159.5261499,21.88733672,2.1856
-159.52606,21.88733672,1.5825
-159.5259702,21.88733672,0.77045
-159.5278567,21.88725337,0.67696
-159.5277668,21.88725337,2.12388
-159.527677,21.88725337,2.92128
-159.5275872,21.88725337,3.85351
-159.5274974,21.88725337,4.98989
-159.5274075,21.88725337,5.63597
-159.5273177,21.88725337,6.06957
-159.5272279,21.88725337,6.11961
-159.527138,21.88725337,6.32462
-159.5270482,21.88725337,6.43939
-159.5269584,21.88725337,6.3775
-159.5268685,21.88725337,6.3033
-159.5267787,21.88725337,6.22295
-159.5266889,21.88725337,5.89596
-159.526599,21.88725337,5.21687
-159.5265092,21.88725337,4.47872
-159.5264194,21.88725337,3.81194
-159.5263295,21.88725337,3.17274
-159.5262397,21.88725337,2.51127
-159.5261499,21.88725337,1.89198
-159.52606,21.88725337,1.29947
-159.5259702,21.88725337,0.56672
-159.5278567,21.88717001,0.83112
-159.5277668,21.88717001,2.25424
-159.527677,21.88717001,3.58648
-159.5275872,21.88717001,4.67533
-159.5274974,21.88717001,5.53711
-159.5274075,21.88717001,5.874
-159.5273177,21.88717001,6.18652
-159.5272279,21.88717001,6.39415
-159.527138,21.88717001,6.49509
-159.5270482,21.88717001,6.50423
-159.5269584,21.88717001,6.49506
-159.5268685,21.88717001,6.43265
-159.5267787,21.88717001,6.22383
-159.5266889,21.88717001,5.97203
-159.526599,21.88717001,5.29946
-159.5265092,21.88717001,4.51301
-159.5264194,21.88717001,3.77322
-159.5263295,21.88717001,3.047
-159.5262397,21.88717001,2.31329
-159.5261499,21.88717001,1.64741
-159.52606,21.88717001,1.00499
-159.5278567,21.88708666,1.4148
-159.5277668,21.88708666,2.72952
-159.527677,21.88708666,4.10402
-159.5275872,21.88708666,5.35255
-159.5274974,21.88708666,5.93359
-159.5274075,21.88708666,6.14769
-159.5273177,21.88708666,6.3845
-159.5272279,21.88708666,6.54116
-159.527138,21.88708666,6.63874
-159.5270482,21.88708666,6.60652
-159.5269584,21.88708666,6.60326
-159.5268685,21.88708666,6.51511
-159.5267787,21.88708666,6.26793
-159.5266889,21.88708666,6.03079
-159.526599,21.88708666,5.41187
-159.5265092,21.88708666,4.62241
-159.5264194,21.88708666,3.87432
-159.5263295,21.88708666,3.12236
-159.5262397,21.88708666,2.31567
-159.5261499,21.88708666,1.55077
-159.52606,21.88708666,0.83943
-159.5278567,21.8870033,1.91215
-159.5277668,21.8870033,3.34755
-159.527677,21.8870033,4.4451
-159.5275872,21.8870033,5.36521
-159.5274974,21.8870033,6.07919
-159.5274075,21.8870033,6.38258
-159.5273177,21.8870033,6.50233
-159.5272279,21.8870033,6.65223
-159.527138,21.8870033,6.73136
-159.5270482,21.8870033,6.68977
-159.5269584,21.8870033,6.57149
-159.5268685,21.8870033,6.50187
-159.5267787,21.8870033,6.2357
-159.5266889,21.8870033,5.93794
-159.526599,21.8870033,5.48817
-159.5265092,21.8870033,4.68951
-159.5264194,21.8870033,3.90196
-159.5263295,21.8870033,3.09481
