p_int,rh_int,t_int,ts
106.883,10.4,29.28,1550799690.962312
106.884,10.4,29.286,1550799701.4975002
106.893,10.4,29.288,1550799712.0300508
106.896,10.4,29.294,1550799722.576221
106.904,10.4,29.29,1550799733.1138597
106.908,10.4,29.275,1550799743.6493306
106.918,10.39,29.287,1550799754.1580658
106.922,10.39,29.291,1550799764.6750343
106.932,10.39,29.285,1550799775.2033885
106.936,10.39,29.295,1550799785.724925
106.945,10.39,29.294,1550799796.2580638
106.956,10.38,29.308,1550799806.757932
106.965,10.39,29.317,1550799817.2407253
106.974,10.38,29.303,1550799827.7788737
106.987,10.38,29.313,1550799838.3007767
106.997,10.38,29.322,1550799848.8233418
107.008,10.38,29.337,1550799859.2976394
107.024,10.38,29.339,1550799869.798898
107.035,10.38,29.332,1550799880.316655
107.055,10.38,29.36,1550799890.8130038
107.067,10.38,29.361,1550799901.3307097
107.083,10.38,29.366,1550799911.8463118
107.098,10.37,29.379,1550799922.3684084
107.116,10.37,29.396,1550799932.8716226
107.132,10.38,29.401,1550799943.4009683
107.152,10.37,29.422,1550799953.9183466
107.169,10.37,29.428,1550799964.4554396
107.192,10.37,29.453,1550799974.9869382
107.21,10.36,29.477,1550799985.485666
107.221,10.33,29.488,1550799996.0077446
107.245,10.4,29.518,1550800006.530196
107.271,10.42,29.537,1550800017.044964
107.325,10.4,29.534,1550800027.556238
107.35,10.39,29.529,1550800038.099565
107.381,10.38,29.533,1550800048.610848
107.409,10.37,29.542,1550800059.1219606
107.431,10.37,29.552,1550800069.6373422
107.45,10.37,29.554,1550800080.1536918
107.477,10.37,29.555,1550800090.6703408
107.494,10.37,29.569,1550800101.196796
107.513,10.38,29.582,1550800111.7157352
107.529,10.4,29.599,1550800122.2316306
107.548,10.39,29.613,1550800132.7638485
107.563,10.39,29.627,1550800143.3293056
107.585,10.4,29.651,1550800153.8660917
107.601,10.4,29.678,1550800164.3591588
107.611,10.41,29.687,1550800174.8913674
107.631,10.41,29.714,1550800185.4196517
107.641,10.43,29.735,1550800195.9472067
107.657,10.43,29.755,1550800206.5281277
107.669,10.43,29.794,1550800217.0733747
107.68,10.44,29.804,1550800227.6041422
107.693,10.45,29.817,1550800238.134168
107.716,10.46,29.848,1550800248.6364636
107.729,10.47,29.876,1550800259.1382782
107.74,10.47,29.892,1550800269.658856
107.747,10.48,29.906,1550800280.1876702
107.752,10.49,29.933,1550800290.7084794
107.756,10.49,29.965,1550800301.2383249
107.764,10.5,29.989,1550800311.7893744
107.759,10.5,30.007,1550800322.3930058
107.763,10.5,30.045,1550800332.9419396
107.767,10.5,30.083,1550800343.4293523
107.762,10.5,30.086,1550800353.9597442
107.763,10.5,30.099,1550800364.4813852
107.765,10.5,30.137,1550800374.9760978
107.761,10.5,30.146,1550800385.5047176
107.755,10.51,30.158,1550800396.0263495
107.752,10.5,30.184,1550800406.5484972
107.759,10.51,30.213,1550800417.0421183
107.756,10.5,30.225,1550800427.5660508
107.746,10.5,30.238,1550800438.09573
107.747,10.5,30.257,1550800448.62841
107.75,10.5,30.278,1550800459.146305
107.743,10.49,30.289,1550800469.6803308
107.739,10.49,30.316,1550800480.1696124
107.729,10.49,30.325,1550800490.6848671
107.725,10.48,30.338,1550800501.2078826
107.715,10.48,30.353,1550800511.7376533
107.705,10.47,30.369,1550800522.2685466
107.695,10.47,30.389,1550800532.7759984
107.683,10.47,30.388,1550800543.320795
107.669,10.47,30.387,1550800553.8533092
107.662,10.45,30.387,1550800564.4025538
107.65,10.46,30.402,1550800574.9497774
107.641,10.45,30.419,1550800585.4716592
107.63,10.43,30.427,1550800595.9836442
107.617,10.43,30.426,1550800606.4716916
107.6,10.42,30.421,1550800617.001311
107.593,10.42,30.444,1550800627.5016506
107.58,10.41,30.431,1550800638.031324
107.577,10.41,30.424,1550800648.5509217
107.561,10.39,30.432,1550800659.060277
107.545,10.39,30.436,1550800669.568768
107.532,10.38,30.437,1550800680.0664716
107.532,10.38,30.43,1550800690.5956643
107.516,10.36,30.448,1550800701.0856216
107.508,10.35,30.435,1550800711.577424
107.494,10.35,30.419,1550800722.1064992
107.49,10.35,30.424,1550800732.5948231
107.475,10.34,30.4,1550800743.1346326
107.462,10.34,30.419,1550800753.6388204
107.444,10.33,30.397,1550800764.168774
107.436,10.32,30.381,1550800774.7046359
107.422,10.32,30.367,1550800785.2433176
107.416,10.31,30.373,1550800795.719073
107.403,10.31,30.347,1550800806.2834606
107.391,10.31,30.333,1550800816.7909102
107.386,10.3,30.318,1550800827.3220685
107.376,10.3,30.329,1550800837.8112543
107.364,10.29,30.309,1550800848.3148365
107.354,10.29,30.284,1550800858.8437216
107.35,10.28,30.283,1550800869.343051
107.336,10.28,30.265,1550800879.8525476
107.322,10.27,30.233,1550800890.3863254
107.317,10.27,30.218,1550800900.9286528
107.307,10.27,30.209,1550800911.4534185
107.296,10.27,30.195,1550800922.0270956
107.29,10.26,30.19,1550800932.5659623
107.279,10.26,30.156,1550800943.1174061
107.273,10.26,30.162,1550800953.601407
107.265,10.25,30.148,1550800964.093414
107.258,10.25,30.121,1550800974.6147845
107.246,10.25,30.099,1550800985.138068
107.241,10.24,30.084,1550800995.6606052
107.238,10.24,30.081,1550801006.1463108
107.231,10.24,30.054,1550801016.6804192
107.219,10.24,30.05,1550801027.1858947
107.218,10.24,30.038,1550801037.6788282
107.21,10.23,30.026,1550801048.1662138
107.203,10.23,30.0,1550801058.6833262
107.189,10.23,29.976,1550801069.1738174
107.182,10.22,29.945,1550801079.7059262
107.177,10.22,29.926,1550801090.2541084
107.177,10.22,29.906,1550801100.779126
107.164,10.22,29.892,1550801111.2990875
107.156,10.22,29.878,1550801121.8346975
107.152,10.22,29.864,1550801132.3483944
107.15,10.22,29.857,1550801142.845464
107.14,10.21,29.827,1550801153.3700736
107.136,10.22,29.814,1550801163.892429
107.122,10.21,29.797,1550801174.4485183
107.118,10.21,29.776,1550801184.9741292
107.118,10.21,29.756,1550801195.4856915
107.113,10.21,29.742,1550801206.0095007
107.109,10.21,29.732,1550801216.5154884
107.103,10.21,29.716,1550801227.0333176
107.096,10.21,29.678,1550801237.5725543
107.089,10.21,29.655,1550801248.0950937
107.091,10.2,29.642,1550801258.6228542
107.084,10.2,29.637,1550801269.1223207
107.069,10.21,29.614,1550801279.6483877
107.068,10.21,29.594,1550801290.171829
107.069,10.2,29.577,1550801300.7020874
107.066,10.2,29.573,1550801311.1951025
107.059,10.2,29.555,1550801321.6901026
107.056,10.21,29.514,1550801332.223324
107.052,10.21,29.498,1550801342.7573366
107.048,10.21,29.491,1550801353.3067524
107.039,10.2,29.474,1550801363.838757
107.032,10.21,29.451,1550801374.372105
107.027,10.2,29.434,1550801384.9059396
107.025,10.21,29.43,1550801395.4069238
107.021,10.2,29.406,1550801405.93717
107.018,10.2,29.385,1550801416.4748926
107.01,10.2,29.372,1550801427.0102553
107.014,10.21,29.353,1550801437.4999332
107.006,10.21,29.325,1550801448.0215764
107.006,10.21,29.333,1550801458.5255249
107.005,10.21,29.307,1550801469.0640342
106.999,10.21,29.295,1550801479.570057
