p_int,rh_int,t_int,ts
113.506,8.73,46.084,1550793461.4618702
113.509,8.73,46.099,1550793471.9595346
113.513,8.74,46.108,1550793482.4964223
113.515,8.72,46.114,1550793493.0604832
113.52,8.72,46.122,1550793503.5942054
113.527,8.73,46.133,1550793514.130301
113.527,8.73,46.138,1550793524.6619372
113.531,8.73,46.135,1550793535.1946027
113.534,8.72,46.142,1550793545.7394738
113.541,8.72,46.141,1550793556.2710588
113.542,8.72,46.146,1550793566.8005178
113.547,8.71,46.159,1550793577.336472
113.548,8.71,46.167,1550793587.857507
113.55,8.71,46.163,1550793598.3545275
113.554,8.71,46.173,1550793608.8767118
113.558,8.71,46.181,1550793619.405966
113.565,8.71,46.185,1550793629.9416988
113.565,8.94,46.125,1550793640.4580126
113.569,8.96,46.11,1550793650.9496784
113.574,8.93,46.119,1550793661.490636
113.573,8.91,46.097,1550793672.0874822
113.577,8.9,46.087,1550793682.5919697
113.576,8.89,46.105,1550793693.1324666
113.582,8.88,46.112,1550793703.640446
113.584,8.87,46.12,1550793714.1705415
113.585,8.87,46.113,1550793724.691371
113.536,8.9,46.165,1550793735.2366073
113.51,8.73,46.269,1550793745.7564094
113.452,8.79,46.226,1550793756.2583072
113.464,8.77,46.203,1550793766.8085067
113.673,8.95,46.161,1550793777.3400984
113.728,8.93,46.1,1550793787.8420691
113.751,8.92,46.067,1550793798.3413827
113.775,8.9,46.038,1550793808.876346
113.777,8.88,46.012,1550793819.4072897
113.767,8.87,45.983,1550793829.93474
113.744,8.86,45.958,1550793840.4661424
113.714,8.85,45.937,1550793850.9950354
113.667,8.86,45.904,1550793861.5060735
113.615,8.85,45.877,1550793872.0247128
113.558,8.85,45.851,1550793882.5601046
113.51,8.85,45.816,1550793893.088945
113.442,8.85,45.753,1550793903.6865518
113.381,8.85,45.737,1550793914.2545514
113.311,8.85,45.7,1550793924.7636497
113.242,8.85,45.65,1550793935.2583158
113.169,8.85,45.627,1550793945.775356
113.097,8.86,45.582,1550793956.284754
113.028,8.85,45.549,1550793966.8255837
112.95,8.86,45.495,1550793977.3540347
112.884,8.85,45.455,1550793987.882626
112.814,8.86,45.405,1550793998.4136229
112.746,8.86,45.34,1550794008.942356
112.672,8.87,45.285,1550794019.46019
112.601,8.87,45.214,1550794029.951508
112.524,8.87,45.145,1550794040.4430346
112.474,8.88,45.091,1550794050.9761577
112.419,8.88,45.017,1550794061.4965625
112.349,8.89,44.952,1550794072.0212755
112.283,8.9,44.875,1550794082.561244
112.211,8.9,44.8,1550794093.11292
112.14,8.92,44.712,1550794103.644409
112.075,8.92,44.625,1550794114.1748414
112.033,8.94,44.532,1550794124.6747525
111.977,8.94,44.462,1550794135.2014494
111.903,8.95,44.373,1550794145.724314
111.829,8.95,44.284,1550794156.2399116
111.764,8.96,44.189,1550794166.7757187
111.692,8.97,44.094,1550794177.2743196
111.632,8.97,44.0,1550794187.8183186
111.568,8.99,43.907,1550794198.3620117
111.507,9.0,43.82,1550794208.89074
111.443,9.01,43.721,1550794219.4400957
111.382,9.02,43.628,1550794229.9694154
111.325,9.02,43.54,1550794240.4845164
111.275,9.04,43.423,1550794251.0129352
111.205,9.04,43.321,1550794261.5419724
111.151,9.05,43.223,1550794272.0366983
111.101,9.06,43.122,1550794282.5657096
111.046,9.07,43.008,1550794293.0417044
110.993,9.08,42.914,1550794303.572839
110.947,9.09,42.804,1550794314.0886881
110.887,9.1,42.696,1550794324.623593
110.842,9.12,42.585,1550794335.1703744
110.781,9.12,42.482,1550794345.6792753
110.725,9.13,42.376,1550794356.1628551
110.67,9.15,42.278,1550794366.661479
110.632,9.15,42.167,1550794377.17795
110.58,9.16,42.057,1550794387.6870306
110.543,9.18,41.942,1550794398.206355
110.503,9.19,41.823,1550794408.7438438
110.443,9.2,41.713,1550794419.2844505
110.403,9.21,41.62,1550794429.7720795
110.374,9.22,41.505,1550794440.2876723
110.325,9.23,41.392,1550794450.8145266
110.248,9.24,41.275,1550794461.3393018
110.195,9.26,41.16,1550794471.8241537
110.139,9.27,41.039,1550794482.3565214
110.087,9.28,40.926,1550794492.896486
110.057,9.3,40.808,1550794503.4265919
110.032,9.32,40.694,1550794513.9832325
109.988,9.32,40.605,1550794524.508541
109.949,9.34,40.488,1550794535.028591
109.897,9.34,40.379,1550794545.5642898
109.86,9.36,40.287,1550794556.059829
109.813,9.37,40.166,1550794566.5928514
109.77,9.37,40.077,1550794577.0978436
109.721,9.38,39.952,1550794587.6301112
109.7,9.4,39.85,1550794598.1504705
109.638,9.41,39.742,1550794608.6885211
109.611,9.42,39.637,1550794619.1942096
109.574,9.43,39.523,1550794629.726349
109.517,9.44,39.419,1550794640.2428346
109.487,9.45,39.31,1550794650.7823567
109.427,9.46,39.197,1550794661.3151104
109.385,9.47,39.102,1550794671.8112516
109.361,9.48,38.987,1550794682.381241
109.323,9.49,38.887,1550794692.9299467
109.289,9.5,38.773,1550794703.451098
109.27,9.51,38.675,1550794713.9663434
109.223,9.52,38.566,1550794724.5064268
109.191,9.53,38.458,1550794735.0204995
109.158,9.54,38.354,1550794745.5795393
109.111,9.55,38.254,1550794756.0830872
109.073,9.56,38.145,1550794766.595828
109.05,9.56,38.048,1550794777.0787456
109.012,9.58,37.932,1550794787.5980384
108.976,9.59,37.827,1550794798.1324718
108.945,9.59,37.732,1550794808.633714
108.906,9.6,37.628,1550794819.1148806
108.883,9.61,37.523,1550794829.6466043
108.846,9.62,37.427,1550794840.181701
108.808,9.64,37.324,1550794850.7147222
108.798,9.65,37.218,1550794861.212731
108.713,9.65,37.117,1550794871.7117617
108.663,9.66,37.011,1550794882.2452903
108.631,9.68,36.913,1550794892.7447202
108.627,9.69,36.827,1550794903.2774951
108.611,9.69,36.714,1550794913.8096035
108.628,9.71,36.637,1550794924.3385634
108.602,9.72,36.527,1550794934.8583622
108.57,9.72,36.448,1550794945.3972316
108.556,9.74,36.346,1550794955.9264822
108.539,9.75,36.244,1550794966.4499898
108.512,9.76,36.156,1550794976.9717045
108.493,9.77,36.063,1550794987.4666207
108.475,9.78,35.984,1550794998.0032659
108.459,9.79,35.891,1550795008.5206273
108.426,9.8,35.793,1550795019.0205534
108.4,9.81,35.715,1550795029.5404596
108.387,9.82,35.636,1550795040.071493
108.364,9.83,35.545,1550795050.565506
108.339,9.85,35.458,1550795061.0507076
108.313,9.85,35.374,1550795071.57831
108.292,9.86,35.278,1550795082.0686944
108.258,9.87,35.207,1550795092.5998626
108.253,9.88,35.124,1550795103.17949
108.227,9.89,35.032,1550795113.7028973
108.22,9.91,34.961,1550795124.226879
108.189,9.91,34.881,1550795134.7619338
108.172,9.92,34.799,1550795145.3040426
108.15,9.92,34.725,1550795155.8220532
108.14,9.94,34.656,1550795166.346676
108.11,9.94,34.582,1550795176.8666813
108.098,9.96,34.496,1550795187.3579922
108.079,9.97,34.429,1550795197.8905435
108.062,9.97,34.355,1550795208.4172933
108.053,9.98,34.276,1550795218.9591143
108.032,9.99,34.202,1550795229.4654193
108.007,9.99,34.124,1550795240.0015578
107.988,10.01,34.054,1550795250.5342283
