p,rh,t,ts
101.399,53.56,29.405,1550809559.64007
101.404,53.74,29.39,1550809562.10958
101.402,53.85,29.376,1550809564.58054
101.402,53.89,29.356,1550809567.04196
101.399,53.89,29.345,1550809569.50931
101.401,53.89,29.338,1550809571.97643
101.402,53.88,29.325,1550809574.43677
101.401,53.9,29.316,1550809576.90053
101.402,53.95,29.311,1550809579.36784
101.403,54.03,29.306,1550809581.83505
101.404,54.1,29.305,1550809584.29974
101.401,54.14,29.299,1550809586.76736
101.402,54.18,29.304,1550809589.23711
101.402,54.23,29.309,1550809591.70826
101.401,54.28,29.308,1550809594.17656
101.403,54.32,29.31,1550809596.64397
101.402,54.32,29.304,1550809599.10988
101.404,54.33,29.296,1550809601.57733
101.404,54.38,29.285,1550809604.04665
101.402,54.43,29.277,1550809606.51326
101.403,54.5,29.268,1550809608.98068
101.402,54.58,29.26,1550809611.49536
101.452,79.32,18.814,1550854674.36510
101.452,79.29,18.823,1550854676.83354
101.452,79.26,18.821,1550854679.29312
101.452,79.23,18.828,1550854681.75723
101.452,79.22,18.835,1550854684.22769
101.45,79.2,18.835,1550854686.69306
101.452,79.19,18.836,1550854689.16042
101.448,79.18,18.839,1550854691.62558
101.453,79.16,18.847,1550854694.09252
101.451,79.14,18.848,1550854696.55827
101.452,79.12,18.85,1550854699.02626
101.451,79.1,18.855,1550854701.49373
101.451,79.09,18.849,1550854703.96223
101.454,79.07,18.854,1550854706.42335
101.456,79.05,18.865,1550854708.88975
101.455,79.02,18.861,1550854711.35703
101.457,79.01,18.868,1550854713.82490
101.454,78.99,18.871,1550854716.29188
101.451,78.99,18.872,1550854718.75864
101.451,78.99,18.877,1550854721.22678
101.45,78.98,18.879,1550854723.69458
101.45,78.99,18.881,1550854726.16204
101.449,78.98,18.878,1550854728.63496
101.45,78.99,18.887,1550854731.10179
101.451,78.99,18.893,1550854733.56874
101.452,78.99,18.9,1550854736.03745
101.454,79,18.897,1550854738.50807
101.452,79.01,18.905,1550854740.97406
101.453,79.01,18.905,1550854743.43699
101.452,79.01,18.905,1550854745.90450
101.452,78.99,18.913,1550854748.37232
101.451,78.95,18.917,1550854750.84050
101.45,78.92,18.921,1550854753.30923
101.453,78.89,18.924,1550854755.77584
101.453,78.87,18.925,1550854758.24265
101.452,78.85,18.926,1550854760.71065
101.451,78.84,18.932,1550854763.17858
101.453,78.82,18.937,1550854765.64641
101.45,78.79,18.936,1550854768.10354
101.451,78.74,18.94,1550854770.56904
101.451,78.72,18.947,1550854773.03567
101.451,78.69,18.951,1550854775.49430
101.453,78.68,18.956,1550854777.96223
101.449,78.66,18.966,1550854780.43033
101.454,78.63,18.966,1550854782.89454
101.454,78.59,18.972,1550854785.36115
101.453,78.56,18.974,1550854787.82705
101.456,78.53,18.979,1550854790.29514
101.45,78.49,18.985,1550854792.76190
101.452,78.44,19.008,1550854797.88348
101.447,78.42,18.998,1550854800.40965
101.451,78.4,18.996,1550854802.87696
101.449,78.38,18.998,1550854805.33455
101.449,78.35,19.004,1550854807.80144
101.454,78.35,19.011,1550854810.26855
101.449,78.33,19.015,1550854812.73579
101.447,78.31,19.019,1550854815.20179
101.448,78.28,19.019,1550854817.66786
101.45,78.26,19.024,1550854820.13480
101.452,78.24,19.026,1550854822.60174
101.449,78.22,19.03,1550854825.06815
101.449,78.21,19.032,1550854827.53513
101.449,78.19,19.032,1550854829.99393
101.452,78.17,19.039,1550854832.46111
101.453,78.16,19.037,1550854834.92784
101.451,78.13,19.037,1550854837.39195
101.452,78.13,19.046,1550854839.85905
101.453,78.12,19.046,1550854842.32655
101.449,78.11,19.047,1550854844.79390
101.448,78.11,19.054,1550854847.26092
101.452,78.09,19.058,1550854849.72799
101.452,78.08,19.06,1550854852.19537
101.449,78.07,19.055,1550854854.65365
101.45,78.07,19.071,1550854857.12354
101.452,78.05,19.067,1550854859.59058
101.452,78.04,19.076,1550854862.06683
101.453,78.04,19.073,1550854864.53390
101.45,78.04,19.074,1550854867.00060
101.454,78.03,19.081,1550854869.46760
101.452,78.02,19.083,1550854871.93580
101.45,78.02,19.09,1550854874.40267
101.453,78,19.086,1550854876.86359
101.453,77.99,19.096,1550854879.33298
101.454,77.96,19.098,1550854881.80063
101.453,77.94,19.1,1550854884.26822
101.449,77.92,19.088,1550854886.73858
101.451,77.92,19.107,1550854889.21173
101.455,77.92,19.111,1550854891.67896
101.452,77.91,19.114,1550854894.14612
101.452,77.89,19.12,1550854896.61236
101.451,77.89,19.119,1550854899.07278
101.45,77.9,19.13,1550854901.53863
101.454,77.9,19.13,1550854903.99955
101.452,77.91,19.145,1550854906.46669
101.451,77.89,19.151,1550854908.93558
101.451,77.86,19.156,1550854911.40257
101.452,77.83,19.16,1550854913.86974
101.453,77.82,19.167,1550854916.33665
101.451,77.79,19.173,1550854918.79997
101.451,77.79,19.187,1550854921.26564
101.447,77.78,19.187,1550854923.73404
101.452,77.75,19.193,1550854926.20158
101.451,77.72,19.198,1550854928.66871
101.451,77.69,19.201,1550854931.13597
101.451,77.67,19.211,1550854933.60311
101.454,77.65,19.211,1550854936.07016
101.451,77.64,19.224,1550854938.53719
101.455,77.63,19.22,1550854941.00451
101.451,77.61,19.219,1550854943.46788
101.455,77.6,19.229,1550854945.93496
101.455,77.61,19.233,1550854948.40114
101.455,77.59,19.238,1550854950.86810
101.455,77.56,19.24,1550854953.33537
101.453,77.56,19.246,1550854955.80258
101.456,77.55,19.244,1550854958.26411
101.455,77.55,19.249,1550854960.73113
101.454,77.55,19.254,1550854963.19367
101.456,77.54,19.261,1550854965.66082
101.453,77.51,19.264,1550854968.12688
101.454,77.51,19.273,1550854970.59425
101.454,77.51,19.272,1550854973.06183
101.453,77.49,19.279,1550854975.52932
101.452,77.47,19.279,1550854977.99661
101.452,77.46,19.283,1550854980.46400
101.454,77.45,19.281,1550854982.93212
101.455,77.46,19.287,1550854985.40008
101.452,77.45,19.284,1550854987.86425
101.453,77.47,19.29,1550854990.33159
101.454,77.48,19.293,1550854992.79416
101.451,77.48,19.303,1550854995.25992
101.456,77.49,19.296,1550854997.72575
101.452,77.5,19.303,1550855000.19358
101.455,77.5,19.307,1550855002.65624
101.454,77.48,19.307,1550855005.11396
101.455,77.47,19.319,1550855007.58086
101.453,77.45,19.313,1550855010.04427
101.453,77.45,19.324,1550855012.51613
101.449,77.45,19.32,1550855014.97698
101.453,77.47,19.33,1550855017.44426
101.449,77.48,19.341,1550855019.91140
101.45,77.49,19.344,1550855022.37775
101.451,77.47,19.35,1550855024.84456
101.451,77.43,19.354,1550855027.31168
101.451,77.38,19.362,1550855029.77943
101.449,77.34,19.37,1550855032.24661
101.451,77.3,19.369,1550855034.71081
101.453,77.26,19.374,1550855037.17821
101.452,77.23,19.379,1550855039.64581
101.453,77.22,19.382,1550855042.11330
101.451,77.22,19.392,1550855044.58108
101.454,77.21,19.398,1550855047.04955
101.45,77.18,19.405,1550855049.51754
101.449,77.14,19.415,1550855051.98427
101.453,77.09,19.417,1550855054.45177
101.448,77.05,19.42,1550855056.91993
101.451,77.01,19.431,1550855059.38752
101.454,76.98,19.435,1550855061.85776
101.455,76.95,19.434,1550855064.32520
101.454,76.91,19.441,1550855066.79237
101.454,76.88,19.439,1550855069.25960
101.453,76.85,19.451,1550855071.72693
101.454,76.82,19.449,1550855074.19446
101.456,76.8,19.455,1550855076.66164
101.452,76.8,19.456,1550855079.12836
101.452,76.76,19.453,1550855081.59533
101.452,76.75,19.462,1550855084.06462
101.452,76.72,19.462,1550855086.52825
101.452,76.71,19.47,1550855088.99579
101.458,76.69,19.466,1550855091.45397
101.456,76.68,19.474,1550855093.92154
101.451,76.68,19.48,1550855096.38837
101.454,76.69,19.49,1550855098.85926
101.453,76.7,19.489,1550855101.32663
101.458,76.67,19.501,1550855103.79460
101.456,76.62,19.499,1550855106.25483
101.456,76.6,19.516,1550855108.72506
101.457,76.58,19.511,1550855111.19294
101.451,76.57,19.52,1550855113.66030
101.454,76.55,19.533,1550855116.12980
101.452,76.51,19.534,1550855118.59834
101.453,76.5,19.537,1550855121.06724
101.456,76.49,19.547,1550855123.53309
101.452,76.47,19.548,1550855125.99551
101.451,76.47,19.561,1550855128.46504
101.453,76.46,19.565,1550855130.93239
101.451,76.45,19.575,1550855133.39959
101.452,76.42,19.582,1550855135.86416
101.456,76.39,19.583,1550855138.32392
101.452,76.34,19.599,1550855140.78824
101.454,76.29,19.608,1550855143.25537
101.455,76.24,19.611,1550855145.72265
101.453,76.21,19.608,1550855148.18401
101.457,76.19,19.619,1550855150.65206
101.456,76.16,19.631,1550855153.12314
101.458,76.12,19.636,1550855155.59329
101.455,76.11,19.632,1550855158.05443
101.454,76.12,19.645,1550855160.51432
101.454,76.09,19.649,1550855162.97445
101.457,76.05,19.657,1550855165.44310
101.453,76.02,19.658,1550855167.91088
101.458,76,19.665,1550855170.37827
101.456,75.97,19.669,1550855172.84616
101.454,75.93,19.676,1550855175.30464
101.454,75.9,19.673,1550855177.77347
101.455,75.87,19.684,1550855180.24070
101.456,75.85,19.69,1550855182.70925
101.457,75.84,19.695,1550855185.17653
101.458,75.85,19.698,1550855187.64038
101.456,75.87,19.705,1550855190.10437
101.455,75.88,19.714,1550855192.57151
101.454,75.91,19.714,1550855195.03439
101.457,75.92,19.724,1550855197.50152
101.457,75.92,19.731,1550855199.96455
101.454,75.91,19.743,1550855202.43145
101.456,75.9,19.74,1550855204.90386
101.455,75.9,19.752,1550855207.37035
101.46,75.89,19.758,1550855209.83414
101.457,75.86,19.762,1550855212.30107
101.457,75.84,19.771,1550855214.76857
101.457,75.82,19.773,1550855217.23437
101.462,75.82,19.774,1550855219.70168
101.457,75.83,19.773,1550855222.16384
101.458,75.82,19.781,1550855224.62468
101.458,75.81,19.789,1550855227.09166
101.457,75.81,19.798,1550855229.55421
101.457,75.81,19.798,1550855232.02237
101.462,75.83,19.806,1550855234.48967
101.462,75.86,19.811,1550855236.95680
101.458,75.89,19.813,1550855239.42220
101.459,75.9,19.821,1550855241.88917
101.46,75.88,19.828,1550855244.35674
101.46,75.86,19.834,1550855246.82772
101.456,75.85,19.84,1550855249.30053
101.457,75.83,19.845,1550855251.76981
101.448,75.79,19.777,1550855254.23471
101.457,75.79,19.852,1550855256.69458
101.46,75.77,19.86,1550855259.16004
101.457,75.74,19.865,1550855261.62719
101.46,75.7,19.874,1550855264.09457
101.459,75.67,19.875,1550855266.55181
101.459,75.66,19.888,1550855269.01259
101.462,75.67,19.898,1550855271.48020
101.459,75.68,19.905,1550855273.94996
101.462,75.68,19.91,1550855276.41659
101.459,75.69,19.917,1550855278.88418
101.463,75.66,19.92,1550855281.35123
101.461,75.62,19.932,1550855283.81841
101.46,75.57,19.93,1550855286.28599
101.461,75.53,19.942,1550855288.75323
101.464,75.48,19.95,1550855291.22036
101.461,75.46,19.953,1550855293.68853
101.461,75.44,19.958,1550855296.15587
101.465,75.44,19.966,1550855298.62077
101.46,75.42,19.974,1550855301.08997
101.464,75.42,19.983,1550855303.54925
101.463,75.41,19.994,1550855306.01600
101.464,75.41,19.998,1550855308.47422
101.466,75.39,20.01,1550855310.94134
101.465,75.35,20.012,1550855313.40695
101.465,75.3,20.026,1550855315.86607
101.464,75.26,20.037,1550855318.33379
101.465,75.23,20.046,1550855320.79430
101.464,75.18,20.058,1550855323.26439
101.464,75.12,20.055,1550855325.73239
101.464,75.08,20.067,1550855328.20204
101.468,75.02,20.074,1550855330.66968
101.465,74.97,20.08,1550855333.13754
101.467,74.93,20.083,1550855335.60874
101.464,74.88,20.078,1550855338.07428
101.466,74.84,20.084,1550855340.53428
101.465,74.84,20.092,1550855343.00153
101.466,74.82,20.092,1550855345.46575
101.466,74.77,20.099,1550855347.93497
101.47,74.74,20.102,1550855350.40248
101.466,74.72,20.103,1550855352.86441
101.466,74.68,20.11,1550855355.33297
101.465,74.65,20.112,1550855357.80036
101.465,74.61,20.121,1550855360.26768
101.466,74.6,20.124,1550855362.73540
101.465,74.59,20.127,1550855365.20282
101.465,74.56,20.134,1550855367.67002
101.469,74.53,20.138,1550855370.13431
101.465,74.48,20.142,1550855372.59423
