AirSaturation,O2Concentration,SN,Temperature,ts
97.351,277.729,831,19.755,1550856439.1344285
97.245,277.411,831,19.758,1550856440.4266562
97.351,277.698,831,19.76,1550856441.7185047
97.705,278.693,831,19.763,1550856443.013116
97.593,278.356,831,19.766,1550856444.3063133
97.562,278.252,831,19.769,1550856445.5976417
97.48,278.006,831,19.771,1550856446.8852322
97.419,277.817,831,19.774,1550856448.1767194
97.293,277.443,831,19.777,1550856449.4685037
97.861,279.048,831,19.779,1550856450.7583814
97.238,277.257,831,19.782,1550856452.0558226
97.456,277.865,831,19.784,1550856453.3478007
97.195,277.104,831,19.787,1550856454.636866
97.449,277.814,831,19.79,1550856455.9316137
97.337,277.479,831,19.792,1550856457.2547355
97.456,277.807,831,19.795,1550856458.5448658
97.478,277.854,831,19.798,1550856459.837125
97.683,278.425,831,19.8,1550856461.1289477
97.336,277.42,831,19.803,1550856462.4160657
97.176,276.95,831,19.806,1550856463.7071838
97.491,277.832,831,19.808,1550856465.0036929
97.438,277.667,831,19.811,1550856466.2951968
97.393,277.522,831,19.814,1550856467.5872445
97.794,278.649,831,19.817,1550856468.8804781
97.423,277.576,831,19.819,1550856470.1787028
97.27,277.127,831,19.822,1550856471.4761834
97.475,277.695,831,19.824,1550856472.7643046
97.536,277.853,831,19.827,1550856474.055356
97.634,278.118,831,19.83,1550856475.3473432
97.387,277.399,831,19.833,1550856476.6633449
97.623,278.055,831,19.836,1550856477.957466
97.465,277.591,831,19.838,1550856479.2493777
97.715,278.285,831,19.841,1550856480.5373137
97.225,276.876,831,19.844,1550856481.9228232
97.307,277.094,831,19.847,1550856483.2850065
97.487,277.592,831,19.849,1550856484.606477
97.632,277.989,831,19.852,1550856485.929119
97.231,276.833,831,19.855,1550856487.233616
97.537,277.686,831,19.858,1550856488.5351908
97.517,277.615,831,19.861,1550856489.8303435
97.354,277.133,831,19.864,1550856491.1273797
97.341,277.08,831,19.867,1550856492.414757
97.443,277.356,831,19.869,1550856493.7019937
97.972,278.847,831,19.872,1550856494.9934247
97.467,277.395,831,19.875,1550856496.2904365
97.656,277.914,831,19.878,1550856497.5823374
97.645,277.868,831,19.881,1550856498.8749077
97.279,276.81,831,19.884,1550856500.1629004
97.54,277.538,831,19.887,1550856501.4589796
97.585,277.648,831,19.89,1550856502.7510417
97.6,277.674,831,19.893,1550856504.0424018
97.188,276.486,831,19.895,1550856505.334204
97.293,276.77,831,19.898,1550856506.6401024
97.356,276.933,831,19.901,1550856507.9330916
97.652,277.757,831,19.904,1550856509.2255392
97.587,277.556,831,19.907,1550856510.5223649
97.314,276.762,831,19.91,1550856511.8210704
97.605,277.574,831,19.913,1550856513.1132615
97.284,276.645,831,19.916,1550856514.4053178
97.282,276.624,831,19.919,1550856515.6942363
97.32,276.72,831,19.921,1550856516.9903162
97.481,277.161,831,19.924,1550856518.2870548
97.446,277.047,831,19.927,1550856519.5746312
97.762,277.931,831,19.929,1550856520.865719
97.414,276.929,831,19.932,1550856522.1680284
97.35,276.733,831,19.934,1550856523.4760418
97.404,276.872,831,19.937,1550856524.7637155
97.781,277.931,831,19.939,1550856526.057429
97.54,277.232,831,19.942,1550856527.349541
97.584,277.343,831,19.944,1550856528.6391447
97.52,277.151,831,19.946,1550856529.9297235
97.522,277.145,831,19.948,1550856531.2217612
97.324,276.57,831,19.951,1550856532.5104244
97.383,276.724,831,19.953,1550856533.800738
97.409,276.788,831,19.955,1550856535.1199963
97.581,277.262,831,19.957,1550856536.4068577
97.383,276.689,831,19.959,1550856537.6948292
97.489,276.979,831,19.961,1550856538.9900455
97.36,276.602,831,19.963,1550856540.2840798
97.477,276.921,831,19.965,1550856541.654609
97.521,277.038,831,19.967,1550856542.9956582
97.438,276.792,831,19.969,1550856544.3173668
97.314,276.43,831,19.971,1550856545.63076
97.351,276.523,831,19.973,1550856546.937586
97.079,275.741,831,19.974,1550856548.2441194
97.442,276.762,831,19.976,1550856549.5383275
97.576,277.135,831,19.978,1550856550.8343205
97.443,276.749,831,19.979,1550856552.1263652
97.503,276.909,831,19.981,1550856553.413188
97.73,277.543,831,19.983,1550856554.7008097
97.241,276.146,831,19.985,1550856555.9944694
97.424,276.654,831,19.986,1550856557.2881382
97.545,276.989,831,19.988,1550856558.5754316
97.133,275.811,831,19.99,1550856559.8681955
97.519,276.897,831,19.991,1550856561.161431
97.397,276.542,831,19.993,1550856562.4623373
97.592,277.088,831,19.995,1550856563.7564292
97.337,276.353,831,19.996,1550856565.0451558
97.621,277.151,831,19.998,1550856566.3406465
97.529,276.879,831,20.0,1550856567.6311598
97.415,276.546,831,20.002,1550856568.9383583
97.733,277.439,831,20.003,1550856570.2287133
97.399,276.479,831,20.005,1550856571.5257585
97.675,277.252,831,20.007,1550856572.8176665
97.448,276.597,831,20.01,1550856574.1046946
97.273,276.087,831,20.012,1550856575.4033701
97.674,277.214,831,20.014,1550856576.6959279
97.31,276.169,831,20.016,1550856577.987006
97.392,276.388,831,20.018,1550856579.2791243
97.445,276.528,831,20.02,1550856580.5690415
97.474,276.597,831,20.023,1550856581.8651338
97.332,276.182,831,20.025,1550856583.1590269
97.483,276.598,831,20.027,1550856584.4461603
97.258,275.944,831,20.03,1550856585.7369878
97.766,277.374,831,20.032,1550856587.0291052
97.487,276.569,831,20.035,1550856588.3177576
97.317,276.074,831,20.037,1550856589.6173673
97.456,276.455,831,20.039,1550856590.909169
97.474,276.493,831,20.042,1550856592.1971717
97.506,276.571,831,20.044,1550856593.489215
97.475,276.472,831,20.046,1550856594.7998307
97.556,276.689,831,20.048,1550856596.0921724
