AirSaturation,O2Concentration,SN,Temperature,ts
26.19,71.471,831,22.014,1550978348.1025012
26.734,72.955,831,22.015,1550978349.3906362
26.971,73.602,831,22.016,1550978350.6814167
27.313,74.533,831,22.017,1550978351.9856985
27.468,74.955,831,22.017,1550978353.289623
28.093,76.659,831,22.017,1550978354.577616
29.048,79.268,831,22.016,1550978355.8685126
29.685,81.007,831,22.016,1550978357.172941
30.049,82.003,831,22.015,1550978358.474556
29.665,80.957,831,22.014,1550978359.768413
29.257,79.843,831,22.013,1550978361.0606396
28.752,78.466,831,22.012,1550978362.3527534
28.603,78.06,831,22.012,1550978363.6438665
28.18,76.906,831,22.012,1550978364.9428582
27.821,75.925,831,22.012,1550978366.2527583
27.65,75.457,831,22.013,1550978367.5407407
27.504,75.058,831,22.014,1550978368.8289318
27.282,74.449,831,22.016,1550978370.1208076
27.265,74.401,831,22.017,1550978371.4250767
27.096,73.939,831,22.018,1550978372.7191164
27.063,73.846,831,22.019,1550978374.0099757
27.171,74.143,831,22.019,1550978375.3031816
27.312,74.526,831,22.019,1550978376.5959811
27.234,74.313,831,22.018,1550978377.9095182
27.023,73.739,831,22.019,1550978379.2031078
26.969,73.589,831,22.019,1550978380.4981554
26.976,73.607,831,22.02,1550978381.7902272
27.036,73.771,831,22.021,1550978383.0773766
26.936,73.498,831,22.022,1550978384.3802376
26.971,73.589,831,22.023,1550978385.6672685
26.857,73.277,831,22.024,1550978386.954626
26.831,73.204,831,22.026,1550978388.2454102
26.865,73.296,831,22.027,1550978389.5427966
26.739,72.95,831,22.028,1550978390.8343575
27.093,73.916,831,22.028,1550978392.12842
27.442,74.869,831,22.028,1550978393.4163206
27.886,76.08,831,22.028,1550978394.7097192
28.088,76.628,831,22.029,1550978396.019213
28.401,77.482,831,22.03,1550978397.3163915
28.576,77.958,831,22.03,1550978398.622751
28.722,78.355,831,22.031,1550978399.9154768
28.796,78.556,831,22.031,1550978401.2035136
28.893,78.82,831,22.032,1550978402.6389086
28.749,78.428,831,22.032,1550978403.9883962
28.879,78.783,831,22.032,1550978405.3033118
29.098,79.378,831,22.032,1550978406.6127732
29.272,79.855,831,22.032,1550978407.9314108
29.333,80.022,831,22.032,1550978409.2269099
29.354,80.078,831,22.032,1550978410.5159085
29.531,80.561,831,22.032,1550978411.8080106
29.443,80.321,831,22.032,1550978413.1008139
29.552,80.619,831,22.032,1550978414.4100568
29.533,80.566,831,22.031,1550978415.7030284
29.922,81.63,831,22.031,1550978416.9952557
30.349,82.796,831,22.03,1550978418.287073
30.831,84.111,831,22.03,1550978419.575327
31.325,85.46,831,22.029,1550978420.875532
31.868,86.943,831,22.028,1550978422.169691
32.134,87.671,831,22.027,1550978423.4613621
32.108,87.599,831,22.026,1550978424.7542727
31.984,87.263,831,22.025,1550978426.0417295
31.403,85.682,831,22.024,1550978427.3416708
31.235,85.224,831,22.023,1550978428.6323984
31.419,85.727,831,22.023,1550978429.9203734
31.787,86.729,831,22.024,1550978431.2195117
32.195,87.842,831,22.025,1550978432.5101938
32.428,88.475,831,22.025,1550978433.7976122
32.782,89.44,831,22.027,1550978435.0941896
32.925,89.826,831,22.029,1550978436.3856542
33.026,90.097,831,22.031,1550978437.6780167
33.174,90.499,831,22.033,1550978438.9713078
33.234,90.658,831,22.034,1550978440.2713861
33.385,91.069,831,22.036,1550978441.5638096
33.128,90.365,831,22.036,1550978442.8562672
32.96,89.906,831,22.037,1550978444.1488676
32.781,89.418,831,22.037,1550978445.4579618
32.591,88.901,831,22.037,1550978446.7508688
32.443,88.495,831,22.038,1550978448.0387175
32.406,88.394,831,22.038,1550978449.3258328
32.345,88.229,831,22.038,1550978450.6154509
32.194,87.815,831,22.038,1550978451.926099
32.157,87.713,831,22.039,1550978453.2161512
31.807,86.759,831,22.039,1550978454.5069878
31.646,86.321,831,22.037,1550978455.7950356
31.483,85.879,831,22.036,1550978457.087943
31.247,85.237,831,22.035,1550978458.3888543
30.86,84.185,831,22.034,1550978459.6825786
30.767,83.933,831,22.033,1550978460.97706
30.778,83.962,831,22.033,1550978462.2818906
30.576,83.411,831,22.032,1550978463.6060617
30.362,82.826,831,22.033,1550978464.9375398
30.24,82.494,831,22.033,1550978466.2676132
30.02,81.893,831,22.033,1550978467.5714016
30.006,81.855,831,22.033,1550978468.8585153
