alt,lat,long,ts,ts_gps
18.548,21.886034544,-159.527523101,1478195715.9980054,2019-02-23T17:12:26.000Z
18.548,21.886034544,-159.527523101,1478195716.5492156,2019-02-23T17:12:27.000Z
18.548,21.886034544,-159.527523101,1478195717.5329485,2019-02-23T17:12:28.000Z
18.548,21.886034544,-159.527523101,1478195718.868449,2019-02-23T17:12:28.000Z
18.548,21.886034544,-159.527523101,1478195718.9809525,2019-02-23T17:12:29.000Z
18.223,21.886035721,-159.527532166,1478195719.5317469,2019-02-23T17:12:30.000Z
17.727,21.886047255,-159.527528781,1478195720.531805,2019-02-23T17:12:31.000Z
17.727,21.886047255,-159.527528781,1478195721.8693922,2019-02-23T17:12:31.000Z
18.051,21.886046078,-159.527519716,1478195721.9818037,2019-02-23T17:12:32.000Z
18.051,21.886046078,-159.527519716,1478195722.6071348,2019-02-23T17:12:33.000Z
18.424,21.886054458,-159.527519716,1478195723.5493188,2019-02-23T17:12:34.000Z
18.424,21.886054458,-159.527519716,1478195724.8685448,2019-02-23T17:12:34.000Z
18.424,21.886054458,-159.527519716,1478195724.9809306,2019-02-23T17:12:35.000Z
17.555,21.886057612,-159.527516332,1478195725.531791,2019-02-23T17:12:36.000Z
18.424,21.886054458,-159.527519716,1478195726.5326188,2019-02-23T17:12:37.000Z
18.424,21.886054458,-159.527519716,1478195727.8703363,2019-02-23T17:12:37.000Z
18.424,21.886054458,-159.527519716,1478195727.9824805,2019-02-23T17:12:38.000Z
18.424,21.886054458,-159.527519716,1478195728.5325096,2019-02-23T17:12:39.000Z
18.749,21.88605328,-159.527510651,1478195729.5308917,2019-02-23T17:12:40.000Z
18.749,21.88605328,-159.527510651,1478195730.8689463,2019-02-23T17:12:40.000Z
18.424,21.886054458,-159.527519716,1478195730.9811919,2019-02-23T17:12:41.000Z
18.797,21.886062838,-159.527519716,1478195731.5324128,2019-02-23T17:12:42.000Z
18.797,21.886062838,-159.527519716,1478195732.533547,2019-02-23T17:12:43.000Z
18.797,21.886062838,-159.527519716,1478195733.8852456,2019-02-23T17:12:43.000Z
18.472,21.886064015,-159.527528781,1478195733.9981658,2019-02-23T17:12:44.000Z
18.472,21.886064015,-159.527528781,1478195734.532341,2019-02-23T17:12:45.000Z
18.148,21.886065193,-159.527537847,1478195735.532459,2019-02-23T17:12:46.000Z
18.148,21.886065193,-159.527537847,1478195736.868612,2019-02-23T17:12:46.000Z
18.148,21.886065193,-159.527537847,1478195736.9815555,2019-02-23T17:12:47.000Z
19.017,21.886062039,-159.527541231,1478195737.6069293,2019-02-23T17:12:48.000Z
18.693,21.886063217,-159.527550296,1478195738.5326004,2019-02-23T17:12:49.000Z
18.693,21.886063217,-159.527550296,1478195739.87045,2019-02-23T17:12:49.000Z
18.693,21.886063217,-159.527550296,1478195739.983017,2019-02-23T17:12:50.000Z
18.693,21.886063217,-159.527550296,1478195740.5314238,2019-02-23T17:12:51.000Z
18.693,21.886063217,-159.527550296,1478195741.5307262,2019-02-23T17:12:52.000Z
18.693,21.886063217,-159.527550296,1478195742.8693297,2019-02-23T17:12:52.000Z
18.693,21.886063217,-159.527550296,1478195742.9817672,2019-02-23T17:12:53.000Z
18.693,21.886063217,-159.527550296,1478195743.5491347,2019-02-23T17:12:54.000Z
18.693,21.886063217,-159.527550296,1478195744.5322673,2019-02-23T17:12:55.000Z
18.693,21.886063217,-159.527550296,1478195745.889119,2019-02-23T17:12:55.000Z
18.693,21.886063217,-159.527550296,1478195746.0016828,2019-02-23T17:12:56.000Z
18.693,21.886063217,-159.527550296,1478195746.532294,2019-02-23T17:12:57.000Z
18.693,21.886063217,-159.527550296,1478195747.5355184,2019-02-23T17:12:58.000Z
18.693,21.886063217,-159.527550296,1478195748.8682187,2019-02-23T17:12:58.000Z
18.693,21.886063217,-159.527550296,1478195748.980809,2019-02-23T17:12:59.000Z
18.693,21.886063217,-159.527550296,1478195749.5315855,2019-02-23T17:13:00.000Z
18.693,21.886063217,-159.527550296,1478195750.530958,2019-02-23T17:13:01.000Z
18.693,21.886063217,-159.527550296,1478195751.8701763,2019-02-23T17:13:01.000Z
18.693,21.886063217,-159.527550296,1478195751.9815288,2019-02-23T17:13:02.000Z
18.693,21.886063217,-159.527550296,1478195752.608185,2019-02-23T17:13:03.000Z
18.368,21.886064394,-159.527559361,1478195753.5489862,2019-02-23T17:13:04.000Z
18.368,21.886064394,-159.527559361,1478195754.8843439,2019-02-23T17:13:04.000Z
18.368,21.886064394,-159.527559361,1478195754.9968548,2019-02-23T17:13:05.000Z
19.237,21.88606124,-159.527562746,1478195755.5340576,2019-02-23T17:13:06.000Z
19.237,21.88606124,-159.527562746,1478195756.5315,2019-02-23T17:13:07.000Z
19.237,21.88606124,-159.527562746,1478195757.8847225,2019-02-23T17:13:07.000Z
19.286,21.886070798,-159.527571811,1478195757.9972034,2019-02-23T17:13:08.000Z
