Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.012,996.138,0.016,1719,1505.352,28.382,1550879805.0379324
-0.013,996.133,0.016,1719,1505.396,28.4,1550879805.7550025
-0.014,996.128,0.016,1719,1505.435,28.416,1550879806.4649491
-0.013,996.134,0.016,1719,1505.384,28.395,1550879807.191217
-0.013,996.136,0.016,1719,1505.368,28.388,1550879807.9018073
-0.013,996.131,0.016,1719,1505.411,28.406,1550879808.6176312
-0.013,996.131,0.016,1719,1505.407,28.405,1550879809.3318148
-0.013,996.136,0.016,1719,1505.372,28.39,1550879810.0577767
-0.013,996.131,0.016,1719,1505.411,28.406,1550879810.7749364
-0.013,996.129,0.016,1719,1505.431,28.414,1550879811.503318
-0.014,996.133,0.016,1719,1505.396,28.4,1550879812.2380831
-0.013,996.135,0.016,1719,1505.38,28.393,1550879812.9498029
-0.014,996.13,0.016,1719,1505.42,28.41,1550879813.6637902
-0.014,996.13,0.016,1719,1505.423,28.411,1550879814.373751
-0.014,996.126,0.016,1719,1505.455,28.424,1550879815.084876
-0.013,996.126,0.016,1719,1505.451,28.423,1550879815.7999053
-0.013,996.124,0.016,1719,1505.475,28.432,1550879816.515194
-0.013,996.129,0.016,1719,1505.427,28.413,1550879817.228864
-0.013,996.128,0.016,1719,1505.439,28.418,1550879817.9435697
-0.013,996.125,0.016,1719,1505.463,28.427,1550879818.6561208
-0.014,996.126,0.016,1719,1505.459,28.426,1550879819.3670807
-0.013,996.124,0.016,1719,1505.47,28.431,1550879820.0848093
-0.013,996.121,0.016,1719,1505.494,28.441,1550879820.8037941
-0.013,996.122,0.016,1719,1505.486,28.437,1550879821.5433302
-0.013,996.12,0.016,1719,1505.506,28.445,1550879822.3203316
-0.013,996.121,0.016,1719,1505.494,28.441,1550879823.103207
-0.013,996.12,0.016,1719,1505.502,28.444,1550879823.847305
-0.012,996.12,0.016,1719,1505.498,28.442,1550879824.6658416
-0.013,996.122,0.016,1719,1505.486,28.437,1550879825.4074876
-0.013,996.115,0.016,1719,1505.542,28.46,1550879826.1475854
-0.013,996.12,0.016,1719,1505.506,28.445,1550879826.871248
-0.013,996.117,0.016,1719,1505.53,28.455,1550879827.5893736
-0.013,996.114,0.016,1719,1505.553,28.465,1550879828.3037112
-0.013,996.116,0.016,1719,1505.538,28.459,1550879829.0177562
-0.013,996.116,0.016,1719,1505.538,28.459,1550879829.739127
-0.015,996.115,0.017,1719,1505.546,28.462,1550879830.4771128
-0.013,996.114,0.016,1719,1505.553,28.465,1550879831.1883283
-0.013,996.114,0.016,1719,1505.557,28.467,1550879831.899202
-0.014,996.116,0.016,1719,1505.542,28.46,1550879832.6164253
-0.013,996.109,0.016,1719,1505.593,28.481,1550879833.3353932
-0.013,996.113,0.016,1719,1505.565,28.47,1550879834.0543442
-0.014,996.11,0.016,1719,1505.585,28.478,1550879834.77175
-0.013,996.112,0.016,1719,1505.573,28.473,1550879835.4863346
-0.014,996.113,0.016,1719,1505.565,28.47,1550879836.2111557
-0.013,996.114,0.016,1719,1505.557,28.467,1550879836.9297643
-0.012,996.107,0.016,1719,1505.608,28.488,1550879837.645269
-0.014,996.112,0.016,1719,1505.569,28.472,1550879838.3637831
-0.013,996.109,0.016,1719,1505.593,28.481,1550879839.0777054
-0.013,996.112,0.016,1719,1505.569,28.472,1550879839.79283
-0.013,996.111,0.016,1719,1505.577,28.475,1550879840.50996
-0.013,996.113,0.016,1719,1505.565,28.47,1550879841.2310033
-0.013,996.114,0.016,1719,1505.553,28.465,1550879841.9447083
-0.013,996.115,0.016,1719,1505.55,28.463,1550879842.6548657
-0.013,996.11,0.016,1719,1505.589,28.48,1550879843.3783772
-0.013,996.113,0.016,1719,1505.565,28.47,1550879844.0961227
-0.013,996.11,0.016,1719,1505.585,28.478,1550879844.8194518
-0.014,996.11,0.016,1719,1505.593,28.481,1550879845.5458062
-0.012,996.108,0.016,1719,1505.604,28.486,1550879846.2599897
-0.013,996.109,0.016,1719,1505.593,28.481,1550879846.974042
-0.012,996.11,0.016,1719,1505.589,28.48,1550879847.684659
-0.013,996.11,0.016,1719,1505.589,28.48,1550879848.4003174
-0.014,996.11,0.016,1719,1505.589,28.48,1550879849.121959
-0.013,996.109,0.016,1719,1505.601,28.485,1550879849.8359475
-0.013,996.102,0.016,1719,1505.652,28.506,1550879850.5691264
-0.013,996.107,0.016,1719,1505.613,28.49,1550879851.2856407
-0.012,996.101,0.016,1719,1505.66,28.509,1550879851.9967556
-0.013,996.108,0.016,1719,1505.609,28.488,1550879852.7117198
-0.013,996.106,0.016,1719,1505.62,28.493,1550879853.4256237
-0.014,996.105,0.016,1719,1505.629,28.496,1550879854.1407278
-0.013,996.107,0.016,1719,1505.612,28.49,1550879854.855636
-0.013,996.102,0.016,1719,1505.652,28.506,1550879855.5748882
-0.013,996.101,0.016,1719,1505.664,28.511,1550879856.2928798
-0.013,996.107,0.016,1719,1505.609,28.488,1550879857.029188
-0.014,996.105,0.016,1719,1505.633,28.498,1550879857.7428913
-0.014,996.102,0.016,1719,1505.652,28.506,1550879858.4566524
-0.013,996.099,0.016,1719,1505.679,28.517,1550879859.1717367
-0.013,996.098,0.016,1719,1505.692,28.522,1550879859.8868132
-0.013,996.099,0.016,1719,1505.68,28.517,1550879860.6090744
-0.013,996.098,0.016,1719,1505.691,28.522,1550879861.3237126
