alx,b,Deg.C,depth_m,dt,g,kPa,r,ts,w,wlx
20817.4,6500.4,36.124,0.033548349999998915,2016-11-03T09:28:06.004781,10047.6,104.314,9592.0,1478201286.0047588,15521.4,58008.8
20805.7,6523.3,36.12,0.031457800000000244,2016-11-03T09:28:07.411629,10054.1,104.293,9599.1,1478201287.4115973,15523.6,57919.4
20629.8,6514.2,36.126,0.03534024999999898,2016-11-03T09:28:08.818450,10055.1,104.332,9597.6,1478201288.818424,15522.6,57883.7
20606.4,6519.8,36.128,0.03165689999999979,2016-11-03T09:28:10.226041,10056.4,104.295,9607.4,1478201290.2260103,15525.9,57723.3
20799.8,6530.6,36.133,0.03324970000000032,2016-11-03T09:28:11.634435,10054.4,104.311,9623.7,1478201291.634403,15530.9,57973.0
20641.4,6501.9,36.138,0.02916814999999922,2016-11-03T09:28:13.048021,10079.0,104.27,9597.8,1478201293.0479968,15524.6,58152.0
20664.8,6519.5,36.142,0.02707759999999914,2016-11-03T09:28:14.454815,10062.9,104.249,9608.4,1478201294.454786,15528.9,58062.4
20947.6,6529.6,36.147,0.03822720000000003,2016-11-03T09:28:15.868065,10066.2,104.361,9603.9,1478201295.8680415,15533.7,58134.1
20741.0,6532.1,36.16,0.03534024999999898,2016-11-03T09:28:17.274869,10056.9,104.332,9598.8,1478201297.2748418,15525.4,58331.6
20612.3,6498.1,36.167,0.03514114999999945,2016-11-03T09:28:18.682445,10069.2,104.33,9608.4,1478201298.6824224,15529.9,57794.5
20682.3,6509.7,36.172,0.03334924999999937,2016-11-03T09:28:20.093436,10066.2,104.312,9611.4,1478201300.0934057,15520.3,57901.5
20741.0,6536.4,36.178,0.03444429999999895,2016-11-03T09:28:21.500298,10043.8,104.323,9593.3,1478201301.5002735,15526.1,57776.7
20735.1,6495.9,36.187,0.03225419999999981,2016-11-03T09:28:22.912430,10044.8,104.301,9602.6,1478201302.9124079,15524.1,57865.8
20694.1,6496.1,36.194,0.028570849999999193,2016-11-03T09:28:24.318338,10049.1,104.264,9594.5,1478201304.3183134,15521.4,57919.4
20764.5,6513.0,36.2,0.03315014999999984,2016-11-03T09:28:25.725755,10059.4,104.31,9608.6,1478201305.725733,15525.9,57865.8
20664.8,6529.8,36.197,0.037629900000000015,2016-11-03T09:28:27.138505,10046.6,104.355,9594.8,1478201307.138477,15523.6,58241.7
20670.6,6510.5,36.195,0.032353750000000285,2016-11-03T09:28:28.545627,10039.8,104.302,9595.3,1478201308.5455995,15522.1,57830.2
20723.4,6508.4,36.192,0.037331249999999996,2016-11-03T09:28:29.956626,10070.2,104.352,9624.0,1478201309.9566035,15531.2,57955.1
20653.1,6498.1,36.194,0.029964550000000194,2016-11-03T09:28:31.364231,10067.5,104.278,9610.1,1478201311.3642015,15525.4,57937.3
20776.2,6505.9,36.198,0.035738449999999464,2016-11-03T09:28:32.772804,10073.0,104.336,9624.0,1478201312.7727804,15527.1,57776.7
20741.0,6512.2,36.203,0.03265240000000029,2016-11-03T09:28:34.179797,10072.7,104.305,9595.8,1478201314.1797695,15527.4,57812.3
20699.9,6509.5,36.206,0.032353750000000285,2016-11-03T09:28:35.587097,10067.5,104.302,9611.2,1478201315.587067,15527.6,58044.5
20746.8,6520.8,36.211,0.0312586999999993,2016-11-03T09:28:36.998641,10046.3,104.291,9595.6,1478201316.998611,15523.9,58134.1
20635.6,6515.2,36.216,0.034643399999999894,2016-11-03T09:28:38.405321,10041.5,104.325,9587.5,1478201318.4052908,15521.1,57545.5
20746.8,6489.1,36.222,0.027475799999999627,2016-11-03T09:28:39.814416,10053.9,104.253,9605.9,1478201319.814389,15523.9,57616.6
20682.3,6524.3,36.23,0.031358249999999775,2016-11-03T09:28:41.220750,10036.5,104.292,9589.0,1478201321.2207186,15516.1,57652.1
20723.4,6525.6,36.236,0.033647899999999384,2016-11-03T09:28:42.628195,10026.2,104.315,9583.2,1478201322.628167,15515.1,57705.5
20788.0,6505.9,36.243,0.03344879999999985,2016-11-03T09:28:44.041258,10042.8,104.313,9596.3,1478201324.0412338,15520.1,57474.6
20612.3,6533.4,36.256,0.03334924999999937,2016-11-03T09:28:45.448607,10042.0,104.312,9595.3,1478201325.4485781,15518.3,57669.9
20705.8,6508.7,36.268,0.03265240000000029,2016-11-03T09:28:46.860705,10050.8,104.305,9596.8,1478201326.8606746,15519.3,58152.0
20641.4,6505.9,36.28,0.03215464999999933,2016-11-03T09:28:48.268148,10043.0,104.3,9589.8,1478201328.2681217,15521.6,58152.0
20694.1,6509.5,36.291,0.031457800000000244,2016-11-03T09:28:49.675620,10042.0,104.293,9602.3,1478201329.675597,15527.1,57937.3
20559.9,6490.8,36.307,0.02777444999999964,2016-11-03T09:28:51.086630,10051.8,104.256,9592.8,1478201331.0866084,15526.6,57865.8
20741.0,6523.8,36.318,0.029068600000000156,2016-11-03T09:28:52.493219,10051.8,104.269,9583.2,1478201332.4931974,15514.1,57812.3
20764.5,6516.0,36.325,0.032055100000000274,2016-11-03T09:28:53.905922,10053.9,104.299,9589.3,1478201333.9058936,15520.6,57955.1
20752.7,6518.3,36.332,0.03344879999999985,2016-11-03T09:28:55.313304,10042.8,104.313,9583.2,1478201335.3132808,15526.6,57883.7
20711.6,6527.6,36.338,0.0312586999999993,2016-11-03T09:28:56.721304,10043.8,104.291,9591.8,1478201336.7212825,15529.2,57510.1
20664.8,6505.4,36.35,0.0329510500000003,2016-11-03T09:28:58.134254,10043.8,104.308,9593.5,1478201338.1342275,15524.6,57955.1
20705.8,6507.7,36.357,0.029367250000000168,2016-11-03T09:28:59.541614,10043.8,104.272,9592.8,1478201339.5415843,15521.1,57741.1
20664.8,6520.5,36.367,0.02976544999999924,2016-11-03T09:29:00.952684,10036.5,104.276,9576.7,1478201340.95266,15513.3,57545.5
20618.1,6526.3,36.368,0.03444429999999895,2016-11-03T09:29:02.358894,10049.6,104.323,9611.9,1478201342.3588622,15514.8,57527.8
20711.6,6501.9,36.375,0.0312586999999993,2016-11-03T09:29:03.765837,10046.6,104.291,9587.7,1478201343.765811,15519.3,57474.6
20659.0,6490.3,36.372,0.03265240000000029,2016-11-03T09:29:05.172419,10045.3,104.305,9590.3,1478201345.172393,15523.1,57723.3
20717.5,6507.7,36.367,0.03474294999999896,2016-11-03T09:29:06.579847,10048.6,104.326,9590.5,1478201346.5798204,15521.1,57776.7
20729.2,6517.0,36.363,0.03046229999999974,2016-11-03T09:29:07.992991,10042.5,104.283,9591.3,1478201347.9929624,15514.8,57669.9
20676.5,6510.0,36.362,0.030860500000000225,2016-11-03T09:29:09.399886,10039.8,104.287,9584.5,1478201349.3998563,15520.1,57705.5
