alt,lat,long,ts_gps,ts
9.68,21.88472363,-159.5275236,2019-02-23T02:20:29.000Z,1550888515.33803
9.68,21.88472363,-159.5275236,2019-02-23T02:20:30.000Z,1550888516.34322
9.68,21.88472363,-159.5275236,2019-02-23T02:20:30.000Z,1550888517.67846
10.55,21.88472047,-159.527527,2019-02-23T02:20:31.000Z,1550888517.79103
10.874,21.8847193,-159.5275179,2019-02-23T02:20:32.000Z,1550888518.33821
11.247,21.88472768,-159.5275179,2019-02-23T02:20:33.000Z,1550888519.33594
11.247,21.88472768,-159.5275179,2019-02-23T02:20:33.000Z,1550888520.67434
11.247,21.88472768,-159.5275179,2019-02-23T02:20:34.000Z,1550888520.78559
11.571,21.8847265,-159.5275088,2019-02-23T02:20:35.000Z,1550888521.33630
11.247,21.88472768,-159.5275179,2019-02-23T02:20:36.000Z,1550888522.33730
11.247,21.88472768,-159.5275179,2019-02-23T02:20:36.000Z,1550888523.67211
12.116,21.88472452,-159.5275213,2019-02-23T02:20:37.000Z,1550888523.78477
12.116,21.88472452,-159.5275213,2019-02-23T02:20:38.000Z,1550888524.41005
11.792,21.8847257,-159.5275304,2019-02-23T02:20:39.000Z,1550888525.33759
11.792,21.8847257,-159.5275304,2019-02-23T02:20:39.000Z,1550888526.67386
11.419,21.88471732,-159.5275304,2019-02-23T02:20:40.000Z,1550888526.78682
11.419,21.88471732,-159.5275304,2019-02-23T02:20:41.000Z,1550888527.33620
11.419,21.88471732,-159.5275304,2019-02-23T02:20:42.000Z,1550888528.33618
11.419,21.88471732,-159.5275304,2019-02-23T02:20:42.000Z,1550888529.67327
11.046,21.88470894,-159.5275304,2019-02-23T02:20:43.000Z,1550888529.78597
11.046,21.88470894,-159.5275304,2019-02-23T02:20:44.000Z,1550888530.33801
11.046,21.88470894,-159.5275304,2019-02-23T02:20:45.000Z,1550888531.33751
11.046,21.88470894,-159.5275304,2019-02-23T02:20:45.000Z,1550888532.67393
11.046,21.88470894,-159.5275304,2019-02-23T02:20:46.000Z,1550888532.78628
11.046,21.88470894,-159.5275304,2019-02-23T02:20:47.000Z,1550888533.33715
11.046,21.88470894,-159.5275304,2019-02-23T02:20:48.000Z,1550888534.33673
11.046,21.88470894,-159.5275304,2019-02-23T02:20:48.000Z,1550888535.67313
11.046,21.88470894,-159.5275304,2019-02-23T02:20:49.000Z,1550888535.78561
11.046,21.88470894,-159.5275304,2019-02-23T02:20:50.000Z,1550888536.33761
11.915,21.88470579,-159.5275337,2019-02-23T02:20:51.000Z,1550888537.33854
11.915,21.88470579,-159.5275337,2019-02-23T02:20:51.000Z,1550888538.67394
12.24,21.88470461,-159.5275247,2019-02-23T02:20:52.000Z,1550888538.78638
12.24,21.88470461,-159.5275247,2019-02-23T02:20:53.000Z,1550888539.41247
12.24,21.88470461,-159.5275247,2019-02-23T02:20:54.000Z,1550888540.35790
12.24,21.88470461,-159.5275247,2019-02-23T02:20:54.000Z,1550888541.69424
12.24,21.88470461,-159.5275247,2019-02-23T02:20:55.000Z,1550888541.80675
12.24,21.88470461,-159.5275247,2019-02-23T02:20:56.000Z,1550888542.35630
12.24,21.88470461,-159.5275247,2019-02-23T02:20:57.000Z,1550888543.33712
12.24,21.88470461,-159.5275247,2019-02-23T02:20:57.000Z,1550888544.69343
12.24,21.88470461,-159.5275247,2019-02-23T02:20:58.000Z,1550888544.80584
12.24,21.88470461,-159.5275247,2019-02-23T02:20:59.000Z,1550888545.35792
12.24,21.88470461,-159.5275247,2019-02-23T02:21:00.000Z,1550888546.35637
12.24,21.88470461,-159.5275247,2019-02-23T02:21:00.000Z,1550888547.69174
12.24,21.88470461,-159.5275247,2019-02-23T02:21:01.000Z,1550888547.80422
12.565,21.88470343,-159.5275156,2019-02-23T02:21:02.000Z,1550888548.85336
12.565,21.88470343,-159.5275156,2019-02-23T02:21:03.000Z,1550888549.47876
12.565,21.88470343,-159.5275156,2019-02-23T02:21:03.000Z,1550888550.67292
12.565,21.88470343,-159.5275156,2019-02-23T02:21:04.000Z,1550888550.78539
13.434,21.88470028,-159.527519,2019-02-23T02:21:05.000Z,1550888551.35540
13.434,21.88470028,-159.527519,2019-02-23T02:21:06.000Z,1550888552.33736
13.434,21.88470028,-159.527519,2019-02-23T02:21:06.000Z,1550888553.69375
13.434,21.88470028,-159.527519,2019-02-23T02:21:07.000Z,1550888553.80491
13.434,21.88470028,-159.527519,2019-02-23T02:21:08.000Z,1550888554.43152
13.434,21.88470028,-159.527519,2019-02-23T02:21:09.000Z,1550888555.33485
13.434,21.88470028,-159.527519,2019-02-23T02:21:09.000Z,1550888556.69148
14.303,21.88469713,-159.5275224,2019-02-23T02:21:10.000Z,1550888556.80419
14.303,21.88469713,-159.5275224,2019-02-23T02:21:11.000Z,1550888557.33658
14.303,21.88469713,-159.5275224,2019-02-23T02:21:12.000Z,1550888558.35373
14.303,21.88469713,-159.5275224,2019-02-23T02:21:12.000Z,1550888559.67325
14.303,21.88469713,-159.5275224,2019-02-23T02:21:13.000Z,1550888559.78451
15.172,21.88469397,-159.5275258,2019-02-23T02:21:14.000Z,1550888560.35777
15.545,21.88470235,-159.5275258,2019-02-23T02:21:15.000Z,1550888561.33739
15.545,21.88470235,-159.5275258,2019-02-23T02:21:15.000Z,1550888562.67398
15.545,21.88470235,-159.5275258,2019-02-23T02:21:16.000Z,1550888562.78649
15.545,21.88470235,-159.5275258,2019-02-23T02:21:17.000Z,1550888563.33607
15.87,21.88470117,-159.5275167,2019-02-23T02:21:18.000Z,1550888564.33643
15.87,21.88470117,-159.5275167,2019-02-23T02:21:18.000Z,1550888565.67345
15.87,21.88470117,-159.5275167,2019-02-23T02:21:19.000Z,1550888565.78499
15.87,21.88470117,-159.5275167,2019-02-23T02:21:20.000Z,1550888566.33643
15.87,21.88470117,-159.5275167,2019-02-23T02:21:21.000Z,1550888567.33618
15.87,21.88470117,-159.5275167,2019-02-23T02:21:21.000Z,1550888568.67648
15.87,21.88470117,-159.5275167,2019-02-23T02:21:22.000Z,1550888568.78922
15.87,21.88470117,-159.5275167,2019-02-23T02:21:23.000Z,1550888569.41467
16.243,21.88470955,-159.5275167,2019-02-23T02:21:24.000Z,1550888570.33639
16.243,21.88470955,-159.5275167,2019-02-23T02:21:24.000Z,1550888571.67245
16.243,21.88470955,-159.5275167,2019-02-23T02:21:25.000Z,1550888571.78454
17.112,21.8847064,-159.5275201,2019-02-23T02:21:26.000Z,1550888572.33647
17.112,21.8847064,-159.5275201,2019-02-23T02:21:27.000Z,1550888573.33655
17.112,21.8847064,-159.5275201,2019-02-23T02:21:27.000Z,1550888574.67133
17.112,21.8847064,-159.5275201,2019-02-23T02:21:28.000Z,1550888574.78379
17.112,21.8847064,-159.5275201,2019-02-23T02:21:29.000Z,1550888575.33481
17.436,21.88470522,-159.527511,2019-02-23T02:21:30.000Z,1550888576.33642
17.436,21.88470522,-159.527511,2019-02-23T02:21:30.000Z,1550888577.67191
17.436,21.88470522,-159.527511,2019-02-23T02:21:31.000Z,1550888577.78486
17.436,21.88470522,-159.527511,2019-02-23T02:21:32.000Z,1550888578.85213
17.436,21.88470522,-159.527511,2019-02-23T02:21:33.000Z,1550888579.47762
17.436,21.88470522,-159.527511,2019-02-23T02:21:33.000Z,1550888580.67168
17.436,21.88470522,-159.527511,2019-02-23T02:21:34.000Z,1550888580.78422
17.436,21.88470522,-159.527511,2019-02-23T02:21:35.000Z,1550888581.33498
17.436,21.88470522,-159.527511,2019-02-23T02:21:36.000Z,1550888582.33486
17.436,21.88470522,-159.527511,2019-02-23T02:21:36.000Z,1550888583.67141
17.436,21.88470522,-159.527511,2019-02-23T02:21:37.000Z,1550888583.78378
17.436,21.88470522,-159.527511,2019-02-23T02:21:38.000Z,1550888584.40908
17.436,21.88470522,-159.527511,2019-02-23T02:21:39.000Z,1550888585.33625
17.436,21.88470522,-159.527511,2019-02-23T02:21:39.000Z,1550888586.67296
17.436,21.88470522,-159.527511,2019-02-23T02:21:40.000Z,1550888586.78418
17.436,21.88470522,-159.527511,2019-02-23T02:21:41.000Z,1550888587.33497
17.436,21.88470522,-159.527511,2019-02-23T02:21:42.000Z,1550888588.33591
17.436,21.88470522,-159.527511,2019-02-23T02:21:42.000Z,1550888589.67331
17.436,21.88470522,-159.527511,2019-02-23T02:21:43.000Z,1550888589.78610
17.436,21.88470522,-159.527511,2019-02-23T02:21:44.000Z,1550888590.35601
17.436,21.88470522,-159.527511,2019-02-23T02:21:45.000Z,1550888591.33549
17.436,21.88470522,-159.527511,2019-02-23T02:21:45.000Z,1550888592.67296
17.436,21.88470522,-159.527511,2019-02-23T02:21:46.000Z,1550888592.78587
17.436,21.88470522,-159.527511,2019-02-23T02:21:47.000Z,1550888593.35370
17.436,21.88470522,-159.527511,2019-02-23T02:21:48.000Z,1550888594.33530
17.436,21.88470522,-159.527511,2019-02-23T02:21:48.000Z,1550888595.69073
17.436,21.88470522,-159.527511,2019-02-23T02:21:49.000Z,1550888595.80330
17.436,21.88470522,-159.527511,2019-02-23T02:21:50.000Z,1550888596.35913
17.436,21.88470522,-159.527511,2019-02-23T02:21:51.000Z,1550888597.35622
17.436,21.88470522,-159.527511,2019-02-23T02:21:51.000Z,1550888598.69164
17.436,21.88470522,-159.527511,2019-02-23T02:21:52.000Z,1550888598.80417
17.436,21.88470522,-159.527511,2019-02-23T02:21:53.000Z,1550888599.42939
17.436,21.88470522,-159.527511,2019-02-23T02:21:54.000Z,1550888600.33649
17.436,21.88470522,-159.527511,2019-02-23T02:21:54.000Z,1550888601.67326
17.436,21.88470522,-159.527511,2019-02-23T02:21:55.000Z,1550888601.78607
17.436,21.88470522,-159.527511,2019-02-23T02:21:56.000Z,1550888602.35644
17.436,21.88470522,-159.527511,2019-02-23T02:21:57.000Z,1550888603.33526
17.436,21.88470522,-159.527511,2019-02-23T02:21:57.000Z,1550888604.69238
17.436,21.88470522,-159.527511,2019-02-23T02:21:58.000Z,1550888604.80538
17.436,21.88470522,-159.527511,2019-02-23T02:21:59.000Z,1550888605.35591
17.436,21.88470522,-159.527511,2019-02-23T02:22:00.000Z,1550888606.33530
17.436,21.88470522,-159.527511,2019-02-23T02:22:00.000Z,1550888607.69060
17.436,21.88470522,-159.527511,2019-02-23T02:22:01.000Z,1550888607.80347
17.436,21.88470522,-159.527511,2019-02-23T02:22:02.000Z,1550888608.33656
17.436,21.88470522,-159.527511,2019-02-23T02:22:03.000Z,1550888609.35693
17.436,21.88470522,-159.527511,2019-02-23T02:22:03.000Z,1550888610.67350
17.436,21.88470522,-159.527511,2019-02-23T02:22:04.000Z,1550888610.78594
17.436,21.88470522,-159.527511,2019-02-23T02:22:05.000Z,1550888611.35683
17.436,21.88470522,-159.527511,2019-02-23T02:22:06.000Z,1550888612.33640
17.436,21.88470522,-159.527511,2019-02-23T02:22:06.000Z,1550888613.67438
17.436,21.88470522,-159.527511,2019-02-23T02:22:07.000Z,1550888613.78556
17.436,21.88470522,-159.527511,2019-02-23T02:22:08.000Z,1550888614.41215
17.436,21.88470522,-159.527511,2019-02-23T02:22:09.000Z,1550888615.33591
17.436,21.88470522,-159.527511,2019-02-23T02:22:09.000Z,1550888616.67595
17.436,21.88470522,-159.527511,2019-02-23T02:22:10.000Z,1550888616.78845
17.809,21.8847136,-159.527511,2019-02-23T02:22:11.000Z,1550888617.34242
17.809,21.8847136,-159.527511,2019-02-23T02:22:12.000Z,1550888618.34044
17.809,21.8847136,-159.527511,2019-02-23T02:22:12.000Z,1550888619.67284
17.809,21.8847136,-159.527511,2019-02-23T02:22:13.000Z,1550888619.78553
17.809,21.8847136,-159.527511,2019-02-23T02:22:14.000Z,1550888620.34272
17.809,21.8847136,-159.527511,2019-02-23T02:22:15.000Z,1550888621.34225
17.809,21.8847136,-159.527511,2019-02-23T02:22:15.000Z,1550888622.67730
17.809,21.8847136,-159.527511,2019-02-23T02:22:16.000Z,1550888622.78978
17.809,21.8847136,-159.527511,2019-02-23T02:22:17.000Z,1550888623.34070
17.809,21.8847136,-159.527511,2019-02-23T02:22:18.000Z,1550888624.34105
17.809,21.8847136,-159.527511,2019-02-23T02:22:18.000Z,1550888625.67918
17.809,21.8847136,-159.527511,2019-02-23T02:22:19.000Z,1550888625.79035
17.809,21.8847136,-159.527511,2019-02-23T02:22:20.000Z,1550888626.34235
17.809,21.8847136,-159.527511,2019-02-23T02:22:21.000Z,1550888627.33712
17.809,21.8847136,-159.527511,2019-02-23T02:22:21.000Z,1550888628.67721
17.809,21.8847136,-159.527511,2019-02-23T02:22:22.000Z,1550888628.78969
17.809,21.8847136,-159.527511,2019-02-23T02:22:23.000Z,1550888629.41560
17.809,21.8847136,-159.527511,2019-02-23T02:22:24.000Z,1550888630.34098
17.809,21.8847136,-159.527511,2019-02-23T02:22:24.000Z,1550888631.67781
17.809,21.8847136,-159.527511,2019-02-23T02:22:25.000Z,1550888631.78884
17.809,21.8847136,-159.527511,2019-02-23T02:22:26.000Z,1550888632.85302
17.809,21.8847136,-159.527511,2019-02-23T02:22:27.000Z,1550888633.33628
17.809,21.8847136,-159.527511,2019-02-23T02:22:27.000Z,1550888634.67754
17.809,21.8847136,-159.527511,2019-02-23T02:22:28.000Z,1550888634.79000
17.809,21.8847136,-159.527511,2019-02-23T02:22:29.000Z,1550888635.34085
17.809,21.8847136,-159.527511,2019-02-23T02:22:30.000Z,1550888636.34035
17.809,21.8847136,-159.527511,2019-02-23T02:22:30.000Z,1550888637.67834
18.354,21.88471163,-159.5275235,2019-02-23T02:22:31.000Z,1550888637.79092
18.354,21.88471163,-159.5275235,2019-02-23T02:22:32.000Z,1550888638.33671
18.354,21.88471163,-159.5275235,2019-02-23T02:22:33.000Z,1550888639.33577
18.354,21.88471163,-159.5275235,2019-02-23T02:22:33.000Z,1550888640.67745
18.354,21.88471163,-159.5275235,2019-02-23T02:22:34.000Z,1550888640.78992
18.354,21.88471163,-159.5275235,2019-02-23T02:22:35.000Z,1550888641.35972
18.354,21.88471163,-159.5275235,2019-02-23T02:22:36.000Z,1550888642.34034
18.354,21.88471163,-159.5275235,2019-02-23T02:22:36.000Z,1550888643.69573
18.354,21.88471163,-159.5275235,2019-02-23T02:22:37.000Z,1550888643.80815
18.354,21.88471163,-159.5275235,2019-02-23T02:22:38.000Z,1550888644.43367
18.354,21.88471163,-159.5275235,2019-02-23T02:22:39.000Z,1550888645.35942
18.354,21.88471163,-159.5275235,2019-02-23T02:22:39.000Z,1550888646.69621
18.354,21.88471163,-159.5275235,2019-02-23T02:22:40.000Z,1550888646.80861
18.354,21.88471163,-159.5275235,2019-02-23T02:22:41.000Z,1550888647.36005
18.354,21.88471163,-159.5275235,2019-02-23T02:22:42.000Z,1550888648.36053
18.354,21.88471163,-159.5275235,2019-02-23T02:22:42.000Z,1550888649.67663
18.354,21.88471163,-159.5275235,2019-02-23T02:22:43.000Z,1550888649.78915
18.354,21.88471163,-159.5275235,2019-02-23T02:22:44.000Z,1550888650.34116
18.354,21.88471163,-159.5275235,2019-02-23T02:22:45.000Z,1550888651.33579
18.354,21.88471163,-159.5275235,2019-02-23T02:22:45.000Z,1550888652.67753
18.354,21.88471163,-159.5275235,2019-02-23T02:22:46.000Z,1550888652.79005
18.354,21.88471163,-159.5275235,2019-02-23T02:22:47.000Z,1550888653.35965
18.354,21.88471163,-159.5275235,2019-02-23T02:22:48.000Z,1550888654.34040
18.354,21.88471163,-159.5275235,2019-02-23T02:22:48.000Z,1550888655.69531
18.354,21.88471163,-159.5275235,2019-02-23T02:22:49.000Z,1550888655.80778
18.354,21.88471163,-159.5275235,2019-02-23T02:22:50.000Z,1550888656.85741
18.354,21.88471163,-159.5275235,2019-02-23T02:22:51.000Z,1550888657.34061
18.354,21.88471163,-159.5275235,2019-02-23T02:22:51.000Z,1550888658.67697
18.354,21.88471163,-159.5275235,2019-02-23T02:22:52.000Z,1550888658.78963
18.354,21.88471163,-159.5275235,2019-02-23T02:22:53.000Z,1550888659.41489
18.354,21.88471163,-159.5275235,2019-02-23T02:22:54.000Z,1550888660.36100
18.354,21.88471163,-159.5275235,2019-02-23T02:22:54.000Z,1550888661.67359
18.354,21.88471163,-159.5275235,2019-02-23T02:22:55.000Z,1550888661.78604
18.354,21.88471163,-159.5275235,2019-02-23T02:22:56.000Z,1550888662.35726
18.354,21.88471163,-159.5275235,2019-02-23T02:22:57.000Z,1550888663.33908
