AirSaturation,O2Concentration,SN,Temperature,ts
101.765,231.368,831,32.169,1550888935.95279
101.592,230.959,831,32.173,1550888937.24673
101.399,230.502,831,32.178,1550888938.53764
101.422,230.536,831,32.182,1550888939.83886
101.208,230.031,831,32.187,1550888941.14837
101.595,230.892,831,32.192,1550888942.49410
101.58,230.838,831,32.197,1550888943.89674
101.504,230.648,831,32.202,1550888945.23243
101.578,230.795,831,32.207,1550888946.54614
101.208,229.936,831,32.211,1550888947.84021
101.705,231.048,831,32.216,1550888949.13007
101.549,230.675,831,32.221,1550888950.42624
101.773,231.165,831,32.226,1550888951.72590
101.566,230.676,831,32.231,1550888953.02048
101.748,231.071,831,32.236,1550888954.31450
101.729,231.008,831,32.24,1550888955.60940
101.692,230.906,831,32.245,1550888956.90333
101.46,230.36,831,32.25,1550888958.19703
101.872,231.277,831,32.254,1550888959.50649
102.115,231.811,831,32.259,1550888960.80140
101.84,231.167,831,32.264,1550888962.09564
101.87,231.219,831,32.269,1550888963.39013
101.494,230.347,831,32.273,1550888964.68565
101.087,229.405,831,32.278,1550888965.98617
101.239,229.729,831,32.283,1550888967.28275
101.283,229.809,831,32.288,1550888968.58002
101.396,230.048,831,32.293,1550888969.87667
101.321,229.858,831,32.298,1550888971.17365
101.207,229.579,831,32.304,1550888972.47231
101.443,230.093,831,32.309,1550888973.78512
101.794,230.868,831,32.314,1550888975.08899
101.404,229.965,831,32.32,1550888976.37871
101.428,229.997,831,32.325,1550888977.67339
101.427,229.975,831,32.33,1550888978.97189
101.908,231.043,831,32.336,1550888980.27619
101.442,229.965,831,32.342,1550888981.56591
101.621,230.349,831,32.347,1550888982.86103
101.623,230.332,831,32.352,1550888984.15491
101.566,230.183,831,32.358,1550888985.44503
101.695,230.453,831,32.364,1550888986.74289
101.117,229.124,831,32.369,1550888988.03899
101.515,230.004,831,32.374,1550888989.33222
101.608,230.193,831,32.38,1550888990.62620
101.703,230.388,831,32.386,1550888991.91896
101.724,230.412,831,32.391,1550888993.21387
