Conductivity,Density,Salinity,SN,Soundspeed,Temperature,ts
-0.009,995.743,0.015,1719,1508.538,29.724,1550888590.54028
-0.01,995.744,0.015,1719,1508.534,29.722,1550888591.25831
-0.01,995.741,0.015,1719,1508.557,29.732,1550888591.97237
-0.009,995.741,0.015,1719,1508.553,29.73,1550888592.68683
-0.009,995.743,0.015,1719,1508.538,29.724,1550888593.40234
-0.009,995.736,0.015,1719,1508.595,29.748,1550888594.11929
-0.009,995.745,0.015,1719,1508.526,29.719,1550888594.84346
-0.01,995.74,0.015,1719,1508.568,29.737,1550888595.55656
-0.009,995.737,0.015,1719,1508.584,29.743,1550888596.27408
-0.01,995.742,0.015,1719,1508.549,29.729,1550888596.98429
-0.009,995.741,0.015,1719,1508.553,29.73,1550888597.69495
-0.009,995.741,0.015,1719,1508.553,29.73,1550888598.40991
-0.009,995.735,0.015,1719,1508.603,29.752,1550888599.12626
-0.009,995.739,0.015,1719,1508.568,29.737,1550888599.84516
-0.01,995.733,0.015,1719,1508.618,29.758,1550888600.56276
-0.009,995.742,0.015,1719,1508.549,29.729,1550888601.27758
-0.009,995.74,0.015,1719,1508.565,29.735,1550888601.99119
-0.009,995.743,0.015,1719,1508.538,29.724,1550888602.70196
-0.009,995.736,0.015,1719,1508.591,29.747,1550888603.41232
-0.009,995.736,0.015,1719,1508.595,29.748,1550888604.12930
-0.009,995.732,0.015,1719,1508.622,29.76,1550888604.86795
-0.009,995.733,0.015,1719,1508.618,29.758,1550888605.58345
-0.009,995.735,0.015,1719,1508.603,29.752,1550888606.29655
-0.009,995.736,0.015,1719,1508.595,29.748,1550888607.00630
-0.009,995.74,0.015,1719,1508.564,29.735,1550888607.72033
-0.009,995.736,0.015,1719,1508.599,29.75,1550888608.44259
-0.009,995.733,0.015,1719,1508.614,29.757,1550888609.15851
-0.01,995.735,0.015,1719,1508.607,29.753,1550888609.87917
-0.009,995.738,0.015,1719,1508.58,29.742,1550888610.59428
